alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
விஜிலி,vijili,மின்சாரம்,Electricity,விஜிலி ந்ஹாத்தக் அவ்ரெஹால் ஜிவத்தக் முஸுனா,vijili nhaattak avrehaal jivattak musunaa,மின்சாரம் இல்லாமல் நம்மால் வாழ முடியாது,We cannot live without electricity
சிடு3கொ,ciDuko,சொடுக்கி,Switch,சிடு3கானுக் பில்லல்னு அந்த3த்திஸொ க2ல்லொகன் தொ2வொ ஹோனா,ciDukaanuk pillalnu andattiso khallokan thovo hOnaa,சொடுக்கிகளை குழந்தைகள் எட்டும் அளவுக்கு தாழ்வாக வைக்கக்கூடாது,The switches should not be placed low enough for children to reach
கு3ண்டு3 தி3வொ,guNDu divo,குண்டு விளக்கு,Incandescent light bulb,கு3ண்டு3 தி3வொ ஜெலத்தெ வேள் ஹுன்னொ ப4ராட் ஸொட3யி,guNDu divo jelatte vEL hunno bharaaT soDayi,குண்டு விளக்கு எரியும் போது சூட்டை வெளியிடும்,Incandescent light bulb emits heat when burning
நல்லி தி3வொ,nalli divo,குழல் விளக்கு,Tube light bulb,நல்லி தி3வொ தொ3ளாக் ஸில்லொகன் ர்ஹாயி,nalli divo doLaak sillokan rhaayi,குழல் விளக்கு கண்ணுக்கு குளிர்ச்சியாக இருக்கும்,Tube light is cool to the eye
LED தி3வொ,LED divo,LED விளக்கு,LED light bulb,எல்இடி3 தி3வொ உன்னொ விஜிலிம் ஜு2க்கு ஹுஜால் தே3ஸு,eliDi divo unno vijilim jhukku hujaal dEsu,எல்இடி விளக்குகள் குறைந்த மின்சாரத்தில் அதிக வெளிச்சத்தை வழங்குகின்றன,LED lights provide more light with less power
உடாவ்,uTaav,பிரகாசம்,Bright,எல்இடி3 தி3வான் உடாவ்கன் ஜெலரஸி,eliDi divaan uTaavkan jelarasi,எல்இடி விளக்குகள் மிக பிரகாசமாக எரிகின்றன,LED lights are very bright
ஹாதுதி3வொ,haatudivo,கைவிளக்கு,Torch light,"ப4ராட் ஹந்தா3ர்கன் ஸே, ஹாதுதி3வொ க2ல்லி ஜவொ","bharaaT handaarkan sE, haatudivo khalli javo","வெளியே இருட்டாக இருக்கிறது, டார்ச்சை எடுத்துச் செல்லுங்கள்","It is dark outside, take the torch with you"
குடி3யண்டா3 தி3வொ,kuDiyaNDaa divo,சிம்னி விளக்கு,Oil lamp / Egg lamp,விஜிலி ந்ஹாத்தெவேள் குடி3யண்டா3 தி3வொ பிர்ஜனம்கன் ர்ஹாஸு,vijili nhaattevEL kuDiyaNDaa divo pirjanamkan rhaasu,மின் தடையின் போது சிம்னி விளக்கு பயனுள்ளதாக இருக்கும்,Egg lamp will be useful during power outage
கன்டீன்,kanTeen,கண்ணாடி கூட்டு விளக்கு,Lantern,பொ3லோம் வராம் மெல்லொ கன்டீன் ம்ஹொவ்லானா,bolOm varaam mello kanTeen mhovlaanaa,பலத்த காற்றில் கூட கண்ணாடி கூட்டு விளக்கு அணையாது,The lantern does not go out even in strong winds
க2ந்தெ3ம் தி3வொ,khandem divo,அரிக்கேன் விளக்கு,Hurricane Lamp,ஹிந்தொ3 மெல்லொ ஜு2கு கொ4ம்மானும் க2ந்தெ3ம் தி3வொ ஸே,hindo mello jhuku ghommaanum khandem divo sE,இன்றும் பல வீடுகளில் அரிக்கேன் விளக்கு உள்ளது,"Even today, many homes still have hurricane lamp"
