alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
அத்தொ,atto,"இப்போது, தற்போது","Now, Currently",அத்தொ கெ4ண்டொ இக்கொ?,atto gheNTo ikko?,இப்பொழுது நேரம் என்ன?,What time is it now?
தக்ஷணம்,takshaNam,உடனே,"Immediately, Instantly, In no time",தக்ஷணம் நிகி3ளி கே4ர் ஆவ்,takshaNam nigiLi ghEr aav,உடனே கிளம்பி வீட்டுக்கு வா,Leave immediately and come home
எவேர்,evEr,உடனே,"Immediately, Instantly, In no time",மொரெ ஹால் எவேர் கே4ரு ப3ட்கெ ப4ந்த3த்தக் முஸுனா,more haal evEr ghEru baTke bhandattak musunaa,என்னால் உடனடியாக வாடகையை செலுத்த முடியாது,I cannot pay the rent immediately
கெ4டி3ம்,gheDim,உடனடியாக,"Immediately, Instantly, In no time, By the time",கெ4டி3ம் கொ2ட்டொ க2லி கெருவொ,gheDim khoTTo khali keruvo,உடனடியாக அறையை காலி செய்யுங்கள்,Vacate the room instantly
ப2ள்சொ,phaLco,பிறகு,After,தூ ஜியெ ப2ள்சொ தெனொ அவெஸ்,too jiye phaLco teno aves,நீ போன பிறகு அவன் வந்தான்,He came after you left
ப2ல்லாது,phallaatu,பின்னர்,Then,ப2ல்லாது அஸ்கி தெனு மொண்ட3வ் ஸொடி3 ஜியாஸ்,phallaatu aski tenu moNDav soDi jiyaas,பின்னர் அனைவரும் மண்டபத்தை விட்டு வெளியேறினர்,Then everyone left the hall
ப2ல்லொ,phallo,பிறகு,Later,நரெளு ஜா2ட் 3 ர்ஹீ 8 ஒர்ஸு ப2ல்லொ போ2ள் தே3யி,nareLu jhaaT 3 rhee 8 orsu phallo phOL dEyi,தென்னை மரம் 3 முதல் 8 ஆண்டுகளுக்குப் பிறகு பலனைத் தரும்,A coconut tree bears fruit after 3 to 8 years
ப2ராது,pharaatu,பிறகு,After,க2யெ ப2ராது ஹோங்கு3 அவயி,khaye pharaatu hOnggu avayi,சாப்பிட்ட பிறகு தூக்கம் வரும்,Sleep comes after taking food
ப2ள்சாது,phaLcaatu,பிறகு,Later,மீ தொகொ3 ப2ள்சாது பொ3வுஸ்,mee togo phaLcaatu bovus,நான் உன்னை பிறகு அழைக்கிறேன்,I'll call you later
தெக3 ப2ள்சாது,tega phaLcaatu,அதற்குப்பிறகு,Thereafter,தெக3 ப2ள்சாது தெங்கொ3 கொன்னிதெனு நொம்ப்3யானி,tega phaLcaatu tenggo konnitenu nombyaani,அதன் பிறகு யாரும் அவரை நம்பவில்லை,Thereafter no one trusted him
ஹொல்லாது3,hollaadu,"அடுத்து, பின்னர், பிறகு","Next, Afterwards, Afterward",10 ஒர்ஸு ஹொல்லாது3 தெங்கொ3 ஸாரியொ,10 orsu hollaadu tenggo saariyo,10 வருடங்களுக்குப் பிறகு அவரைப் பார்க்கிறேன்,Seeing him after 10 years
தெக3 ஹொல்லாது3,tega hollaadu,"அதற்கடுத்து, அதன் பிறகு",After that,தெக3 ஹொல்லாது3 கொன்னி தெனு நிஞ்ஜானி,tega hollaadu konni tenu ninjjaani,அதற்கடுத்து யாரும் தூங்கவில்லை,No one slept after that
அத்தெங்கு3டு3,attengguDu,இனிமேல்,"Hereafter, From now on",அத்தெங்கு3டு3 மொரெ வத்தோஸ் ஐகுனொ,attengguDu more vattOs aikuno,இனிமேல் என்பேச்சை தான் கேட்கவேண்டும்,"From now on, should listen only to me"
அதப2ர,ataphara,அதன் பிறகு,After this,அதப2ர து3ஷ்ட ஸவஸுக் ஸொடு3வொ,ataphara dushTa savasuk soDuvo,அதன் பிறகு கெட்ட நட்பை விட்டு விடுங்கள்,Leave bad friendships after this
ஹொயெத்தகர்,hoyettakar,ஆனபிறகு,After,6 ம்ஹடொ3 ஹொயெத்தகர் பில்லல்னுக் கெ4டி3 அகா3ர் தெ3னொ,6 mhaDo hoyettakar pillalnuk gheDi agaar deno,6 மாதங்கள் ஆனபிறகு குழந்தைகளுக்கு திட உணவை கொடுக்க வேண்டும்,Babies should be given solid food after 6 months of age
ஒள்டோக் ஒள்டோக்,oLTOk oLTOk,அவ்வப்பொழுது,Now and then,ஸுனொ ஒள்டோக் ஒள்டோக் உஸ்கெஸி,suno oLTOk oLTOk uskesi,நாய் அவ்வப்போது குரைத்தது,The dog barked now and then
தெ2ப்3பொ3,thebbo,அப்போது,Then,தெ2ப்3பொ3 மீ ஸங்கெ3யொ கொன்னிதெனு அய்க்யானி,thebbo mee sanggeyo konnitenu aykyaani,அப்போது நான் சொன்னதை யாரும் கேட்கவில்லை,No one listened what I said then
தெ2ப்3போ3ஸி,thebbOsi,அப்போது தான்,Only then,ஸுட்டுனாத்தக் அப்4யாஸ் கெர்னொ. தெ2ப்2போ3ஸி ஜெவுஞ்சத்தக் முஸை,suTTunaattak abhyaas kerno. thephbOsi jevunjcattak musai,தொடர்ந்து பயிற்சி செய்ய வேண்டும். அப்போதுதான் வெற்றி பெற முடியும்,Keep practicing. Only then can you win
கொ2ப்3பொ3,khobbo,எப்போது,When,கொ2ப்3பொ3 பி2வ்ரி தே3ன் மெனி ஸங்கு3வொ,khobbo phivri dEn meni sangguvo,எப்போது திருப்பித் தருவீர்கள் என்று சொல்லுங்கள்,Tell me when you will return it
கொ2ப்3பி3ம்,khobbim,"எப்போதும், பொதுவாக, வழக்கமாக","Always, Usually",தெனு கொ2ப்3பி3ம் சுரும் அவன்,tenu khobbim curum avan,அவர் எப்போதும் சீக்கிரம் வருவார்,He always comes early
லம்பு3ரும்,lamburum,எப்போதும்,Always,ஜித்ரவ் லம்பு3ரும் இஸோஸ் ஜானா,jitrav lamburum isOs jaanaa,வாழ்க்கை எப்போதும் இப்படியே போகாது,Life will not always go like this
ஸதா3கலம்,sadaakalam,எப்பொழுதும்,Always,வளுராணும் ஸதா3கலம் வேன் ஹுன்னொ ர்ஹாய்,vaLuraaNum sadaakalam vEn hunno rhaay,பாலைவனத்தில் எப்பொழுதும் அதிக வெப்பம் இருக்கும்,It is always very hot in the desert
கொனேவெள,konEveLa,எந்த நேரத்திலும்,"All the time, Any time",சிரபுஞ்சிம் கொனேவெள பொவ்ஸ் பொட3ஸ்,cirapunjcim konEveLa povs poDas,சிரபுஞ்சியில் எந்த நேரத்திலும் மழை பெய்கிறது,It rains anytime in Cherrapunji
தெத்தெவேள்,tettevEL,அவ்வப்போது,From time to time,ரீன் தெத்தெவேள் ஹெட்டுனொ,reen tettevEL heTTuno,கடனை அவ்வப்போது அடைத்து விடவேண்டும்,The loan should be repaid from time to time
கொ3ப்3ப3 தெ2ப்3ப3,gobba thebba,எப்போது பார்த்தாலும்,"At anytime, Always",ஹிஸ்லான் கொ3ப்3ப3 தெ2ப்3ப3 ரீன் மவன்,hislaan gobba thebba reen mavan,வேலைக்காரர்கள் எப்போதும் கடன் கேட்பார்கள்,Servants always ask for credit
கொ2ப்3ப3தி3,khobbadi,எப்போதாவது,"Occasionally, Sometime, Ever, Once a while",அவ்ரெ மமொ கொ2ப்3ப3தி3 ஒண்டால் சல்சித்ரு ஸான்,avre mamo khobbadi oNTaal calcitru saan,என் மாமா எப்போதாவது ஒரு முறை திரைப்படம் பார்ப்பார்,My uncle occasionally watches movies
முது3ல்லாம்,mudullaam,"முன்பு, முற்காலம்","Earlier, Previously, Early times",முது3ல்லாம் அமி தி3ல்லிம் ஜிவெயொ,mudullaam ami dillim jiveyo,முன்பு நாங்கள் டெல்லியில் வாழ்ந்தோம்,Earlier we lived in Delhi
கெ4ண்டொ,gheNTo,மணி,Time,தீ3 கெ4ண்டொ தொகன் ர்ஹக்கிலேத் ஸேத்தெ,dee gheNTo tokan rhakkilEt sEtte,2 மணி நேரமாக காத்திருக்கிறேன்,I am waiting for 2 hours
கெ4டி3,gheDi,"போது, நேரம், கணம், சிறிது நேரம்","Time, Moment, While",கெ4டி ர்ஹியெத் வத்தொ கெரென்,gheTi rhiyet vatto keren,நேரம் இருந்தால் பேசலாம்,"If you have time, we can talk"
ஒண்டெ கெ4டி3,oNTe gheDi,ஒரு நாழிகை,24 Minutes,ஒண்டெ தி3 மெனரியொ 60 கெ4டி3னுன் செரயொ,oNTe di menariyo 60 gheDinun cerayo,ஒரு நாள் என்பது 60 நாழிகைகளைக் கொண்டது,A day consists of 60 gheDi
கா4ட்,ghaaT,மணி,"Hour, O' clock",கெ4ண்டொ அத்தொ 2 கா4ட் 15 நிமிஷுன்,gheNTo atto 2 ghaaT 15 nimishun,இப்போது நேரம் 2 மணி 15 நிமிடங்கள்,Now the time is 2 hours 15 minutes
கா4ம்,ghaam,மணி,"Hour, O' clock",ஸாதுன் தெ3ஸ் கா4முக் தொரன் கு3ஷ்டி நிகு3ளயி,saatun des ghaamuk toran gushTi niguLayi,ஏழு பத்து மணிக்கு ரயில் புறப்படும்,The train leaves at seven ten
நிமுஷ்,nimush,நிமிடம்,Minute,ஸாத் கா4ம் தெ3ஸ்ஸு நிமிஷுக் ஊபொ3ண்டி3 நிகு3ளயி,saat ghaam dessu nimishuk uuboNDi niguLayi,ஏழு மணி பத்து நிமிடங்களுக்கு ரயில் புறப்படும்,The train will leave at seven hours ten minutes
நிமிட்,nimiT,நிமிடம்,Minute,வராமான் நிமுடு நிமிட் மர்ச்சய்லேத் ஹொதெ3ஸி,varaamaan nimuTu nimiT marccaylEt hodesi,வானிலை நிமிடத்திற்கு நிமிடம் மாறிக்கொண்டே இருந்தது,The weather was changing minute by minute
சிடு3க்,ciDuk,நொடி,Second,எல்லெகொ3 தெ2வ்டெ3 சிடு3குனூஸ் ஹோயி,ellego thevDe ciDukunoos hOyi,இதற்கு சில வினாடிகள் மட்டுமே ஆகும்,It only takes a few seconds
கெ4டி3தளொ,gheDitaLo,கடிகாரம்,Clock / Watch,ஜு2கு3 கொ4ம்மானும் கெ4டி3தளொ 15 நிமிஷுன் பி3ஸ்ஸொ தொ2வஸுன்,jhugu ghommaanum gheDitaLo 15 nimishun bisso thovasun,பெரும்பாலான வீடுகளில் கடிகாரங்கள் 15 நிமிடங்கள் வேகமாக வைக்கப்படுகின்றன,Clocks in most homes are set 15 minutes faster
கெ4டி3யளொ,gheDiyaLo,கடிகாரம்,Clock,அணு கெ4டி3யளோ வேன் ஸெர்க்கொகன் கெ4ண்டொ தெ3க்கட3ஸு,aNu gheDiyaLO vEn serkkokan gheNTo dekkaDasu,அணுக் கடிகாரம் மிகத் துல்லியமாக நேரத்தை காட்டுகிறது,An atomic clock shows time very accurately
