alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
ரெத்தனு தெ3ய்டா3ன்,rettanu deyDaan,ரத்தினக் கற்கள்,Gemstones,நொவ் ப்ரகார்னு ரெத்தனு தெ3ய்டா3ன் ஸே,nov prakaarnu rettanu deyDaan sE,ஒன்பது வகையான ரத்தினக் கற்கள் உள்ளன,There are nine types of gemstones
ஹிரொ,hiro,வைரம்,Diamond,ஹிரானுக் காரட் லெக்ஷனும் மொவனு,hiraanuk kaaraT lekshanum movanu,வைரங்களை காரட் அலகுகளில் அளப்பார்கள்,Diamonds are measured in units of carat
வஜ்ஜிர்,vajjir,வைரம்,Diamond,தேகு ஜா2டு3 வஜ்ஜிர் ஸோன் தா4ஷ்டி ஹொயெயொ,tEku jhaaDu vajjir sOn dhaashTi hoyeyo,தேக்கு மரம் வைரத்தைப் போல வலிமையானது,Teak wood is as strong as diamond
லஸண்யொ,lasaNyo,வைடூரியம்,"Chrysoberyl, Cat's eye",லஸண்யொ மஞ்ஜிரி தொ3ளொ ஸோன் ர்ஹாயி,lasaNyo manjjiri doLo sOn rhaayi,வைடூரியம் பூனையின் கண்ணை ஒத்திருக்கும்,Chrysoberyl resembles cat's eye
மொதி,moti,முத்து,Pearl,ஜீவுனும் ர்ஹீ அவரியொ ஒண்ட்டே ரெத்தன் மொதி,jeevunum rhee avariyo oNTTE rettan moti,உயிரினத்திலிருந்து வரும் ஒரே ரத்தினம் முத்து,Pearls are the only gemstone to come from a living creature
பொம்ளொ,pomLo,பவளம்,Coral,பொம்ளாக் முத்3தி3 ஸெரொ செர்ச்சி க4ல்லனு,pomLaak muddi sero cercci ghallanu,பவளத்தை மோதிரத்தில் கோர்த்து அணிவார்கள்,The coral is worn with the ring
கோ3மேதொ3,gOmEdo,கோமேதகம்,Garnet,கோ3மேதொ3 த4னிமா வித்து ஸொகன் ர்ஹாயி,gOmEdo dhanimaa vittu sokan rhaayi,கோமேதகம் மாதுளை விதைகளை ஒத்திருக்கும்,Garnet resembles pomegranate seeds
ல்ஹொவொ ரெத்தன்,lhovo rettan,மாணிக்கம்,Ruby (Red gem),லேஸர் கிரணுக் உரு கெரத்தக் ல்ஹொவொ ரெத்தன் நுக3ஸு,lEsar kiraNuk uru kerattak lhovo rettan nugasu,லேசர் கதிர்களை உருவாக்க ரூபி பயன்படுத்தப்படுகிறது,Ruby is used to create laser beams
நீல் ரெத்தன்,neel rettan,நீலம்,Sapphire (Blue gem),நிள்ச்சி ர்ஹாத்தெமாம் ஹிராக் ப2ராது நீல் ரெத்தனுன் ஸே,niLcci rhaattemaam hiraak pharaatu neel rettanun sE,நீடித்திருப்பதில் வைரங்களுக்கு அடுத்தபடியாக நீலமணிகள் உள்ளன,Sapphires are next to diamonds in durability
பன்னொ,panno,மரகதம்,"Jade, Emerald (Green gem)",பன்னொ ஹிரொ ஸொம்மர் ஹவ்ளொயொ,panno hiro sommar havLoyo,மரகதம் வைரத்தை விட இலகுவானது,Emerald is lighter than diamond
புஷ்கராஜ்,pushkaraaj,புஷ்பராகம்,Topaz (Yellow gem),புஷ்கராஜு பு4லோக் பூராக் கொவ்ரி ஹெட3ஸுன்,pushkaraaju bhulOk pooraak kovri heDasun,புஷ்பராகம் உலகம் முழுவதும் தோண்டி எடுக்கிறார்கள்,Topaz is mined all over the world
