Unnamed: 0,20. Kitchen and thinks used Kitchen,ஹந்த்3வு தவ்ரம் கினு ஹந்தவு பாத்ரான்,हन्दवु तव्रम किनु हन्तवु पात्रान,ꢲꢥ꣄ꢣꢮꢸ ꢡꢮ꣄ꢬꢪ꣄ ꢒꢶꢥꢸ ꢲꢥ꣄ꢡꢮꢸ ꢦꢵꢡ꣄ꢬꢵꢥ꣄
அகப்பை  ,laddle,ஹவ்கொ,हव्का॑,ꢂꢮ꣄ꢒꣁ
அடுக்களை  ,kitchen,ப4வ்னஸ்,भव्नस्,ꢩꢮ꣄ꢥꢱ꣄
அடுப்பங்கரை  ,hearth,ப4வ்னஸ்,भव्नस्,ꢩꢮ꣄ꢥꢱ꣄
அடுப்பு  ,oven,சுல்லொ,चुल्ला॑,ꢗꢸꢭ꣄ꢭꣁ
அடைப்பு  ,lid,ஜ2ய்னொ,झय्ना॑,ꢚꢫ꣄ꢥꣁ
அண்டா  ,big copper vessel for storing water,ஹண்டொ3,हण्डा॑,ꢂꢠ꣄ꢞꣁ
அப்பளக் கல்   ,a stone or wooden plank to prepare papad,அப்புடா3லு தெ3ய்டொ3,अप्पुडालु द॑य्डा॑,ꢂꢦ꣄ꢦꢸꢞꢵꢭꢸ ꢣꢾꢫ꣄ꢞꣁ
அப்பளக் குழவி   ,a rolar to prepare papad,அப்புடா3லு கெட்டெ,अप्पुडालु क॑ट्ट॑,ꢂꢦ꣄ꢦꢸꢞꢵꢭꢸ ꢒꢾꢜ꣄ꢜꢾ
அம்மி  ,crushing stone,படொ,पटा॑,ꢦꢜꣁ
அரிவாள் மணை   ,a vertical knife to cut vegetables,விளி,विळि,ꢮꢳꢶ
ஆட்டுக்கல்  ,grinding stone,ஹொக3ள்,होगल्,ꢲꣁꢔꢭ꣄
ஆவி  ,steam,வாப்,वाप्,ꢮꢵꢦ꣄
"இட்டலிக் குட்டுவம், கொப்பறை   ",a vessal to (steam) prepare idli,ப2லாரு ஹண்டொ3,फलारु हण्डा॑,ꢧꢭꢵꢬꢸ ꢲꢠ꣄ꢞꣁ
இட்டலித் தட்டு   ,a plate like vessal to prepare idli,ப2லாருதெட்டொ,फलारु त॑ट्टा॑,ꢧꢭꢵꢬꢸ ꢡꢾꢜ꣄ꢜꣁ
இடுக்கி  ,tongs,இட்கி,इट्कि,ꢄꢜ꣄ꢒꢶ
இரும்புக் கரண்டி   ,iron laddle,லொ:க3ணு பொளொ,ल्हा॑गणु पा॑ळा॑,ꢭꢴꣁꢒꢠꢸ ꢦꣁꢳꣁ
இரும்புலக்கை  ,iron pestle,லொ:க3ணுமுஸள்,ल्हा॑गणुमुसळ्,ꢭꢴꣁꢒꢠꢸ ꢪꢸꢱꢳ꣄
உலக்கை  ,pestle,முஸள்,मुचल्,ꢪꢸꢗꢭ꣄
உறி  ,pot hanger,ஸிகொ,सिका॑,ꢱꢶꢒꣁ
கங்கு  ,cinder,விஸ்தவ்,विस्तव्,ꢮꢶꢱ꣄ꢡꢮ꣄
கண் அகப்பை,Sieve laddle,பொளொ,पा॑ळा॑,ꢦꣁꢳꣁ
கண்ணுக்கரண்டி   ,sieve laddle,புட்டலு ஹவ்கொ,पुट्टल्लु हव्का॑,ꢦꢸꢜ꣄ꢜꢭ꣄ꢭꢸ ꢲꢮ꣄ꢒꣁ
கணல்  ,cinder,அனல்,अनल्,ꢂꢥꢭ꣄
கரண்டி  ,spoon,பொளி,पा॑ळि,ꢦꣁꢳꢶ
கரி  ,soot,கொ2ள்செ,खा॑ळ्च॑,ꢓꣁꢳ꣄꣄ꢗꢾ
கலம்  ,earthern pot,தொவ்லி,ता॑व्लि,ꢡꣁꢮ꣄ꢭꢶ
கற்சட்டி  ,stone pot,தெ3கு3டா3 ஹண்டி3,द॑गुडा हण्डि,ꢣꢾꢔꢸꢞꢵ  ꢲꢠ꣄ꢞꢶ
காய்கறித் தட்டு   ,vegetable basket,கைலகெஸுரு கொ2வ்டி3,कैलक॑सुरु खोव्डि,ꢒꣀꢭꢒꢾꢱꢸꢬꢸ ꢓꣁꢮ꣄ꢞꢶ
கிண்ணம்  ,a bowl,பிங்க3ணி,पिङगणि,ꢦꢶꢖ꣄ꢔꢠꢶ
தாமிர பானை,a copper vessal for storing water,தம்பு3ரமு பொ4ன்னொ,तम्बुरमु भा॑न्ना॑,ꢡꢪ꣄ꢨꢸꢬꢪꢸ ꢩꣁꢥ꣄ꢥꣁ
கொட்டாங்கச்சி  ,coconut shell,சிப்பொ,चिप्पा॑,ꢗꢶꢦ꣄ꢦꣁ
கொடியடுப்பு  ,side oven,கொ2ள்சாசுல்லொ/கொட்பை சுல்லொ,"खोल्चा चुल्ला॑, का॑ट्पै चुल्ला॑","ꢓꣁꢭ꣄ꢗꢵꢗꢸꢭ꣄ꢭꣁ, ꢒꣁꢜ꣄ꢦꣀ ꢗꢸꢭ꣄ꢭꣁ"
சட்டி  ,a vessel (earthern),கை3டி3,गैटि,ꢒꣀꢔꢶ
தோசைக்கரண்டி,dosai laddle,தி4டா3ஹாத்,धिडा हात,ꢤꢶꢞ ꢲꢵꢡ꣄
சருவம்  ,a metal vessel,தெ3ஸெ,द॑स॑,ꢣꢾꢱꢾ
சல்லடை  ,sieve,ஜெல்லட்,ज॑ल्लट्,ꢙꢾꢭ꣄ꢭꢜ꣄
சாம்பல்,ash,ராக்,राक्,ꢬꢵꢒ꣄
சிரட்டை,Coconut shell,நளெர் சிப்பொ,नळ॑र्चिप्पा॑,ꢥꢭꢾꢬ꣄ ꢗꢶꢦ꣄ꢦꣁ
சிரட்டையகப்பை  ,a laddle made of coconut shell,சிப்பா ஹவ்கொ,चिप्पा हव्का॑,ꢗꢶꢦ꣄ꢦꣁ ꢲꢮ꣄ꢒꣁ
சீனிச்சட்டி  ,frying pan,பு4ஞ்ஜுனாஹண்டி3,भुञ्जुना हण्डि,ꢩꢸꢛ꣄ꢙꢸꢥꢵ ꢲꢠ꣄ꢞꢶ
சுளகு /முறம்,"winnow (to sift grain), ",ஸுடொ3/ஸுப்டொ3/ ப2ங்கு3டா3வ்,"सुडा॑, सुप्डा॑, फङ्गुडाव","ꢱꢸꢞꣁ, ꢱꢸꢦ꣄ꢞꣁ, ꢩꢖ꣄ꢔꢸꢞꢮ꣄"
டப்பா  ,"tin, ",ட3ப்பொ,टप्पा॑,ꢜꢦ꣄ꢦꣁ
தட்டம் / தட்டு  ,plate,தெட்டொ/ஹர்வி,"त॑ट्टा॑, हर्वि","ꢡꢾꢜ꣄ꢜꣁ, ꢲꢬ꣄ꢮꢶ"
,,கொடு3ம்,का॑टुम्,ꢒꣁꢜꢸꢪ꣄
திரிகைக் கல்  ,dry grinder (stone),சகி,चकि,ꢗꢒꢶ
தீ  ,fire,ஹுளொ/விஸ்தவ்/ விங்கள்,"हुळा॑, विस्तव, विङ्कळ","ꢲꢸꢳꣁ, ꢮꢶꢱ꣄ꢡꢮ꣄, ꢮꢶꢖ꣄ꢒꢳ꣄"
தீப்பெட்டி  ,match box,தி3வாபெடி,तिवाप॑टि,ꢡꢶꢮꢵꢦꢾꢜꢶ
தீப்பொறி  ,spark of fire,சுளுந்து3,चुळुन्दु,ꢗꢸꢳꢸꢥ꣄ꢣꢸ
மத்து,wooden pestle for stiring,மொத்து,मा॑त्तु,ꢪꣁꢡ꣄ꢡꢸ
தேங்காய்த் துருவி   ,coconut grater,நரளுதுர்கொ,नरळु तुर्का॑,ꢥꢬꢳꢸ ꢡꢸꢬ꣄ꢒꣁ
தோசைக்கல்  ,pan to make dosa,தி4டா3ஹண்டி3,धिडा हण्डि,ꢤꢶꢞꢵ ꢲꢠ꣄ꢞꢶ
நீராவி  ,"steam, ",பனிவாப்,पनिवाप्,ꢦꢥꢶ ꢮꢵꢦ꣄
நெருப்பு  ,fire,ஹுளொ,हुळा॑,ꢲꢸꢳꣁ
நெருப்புப் பெட்டி   ,match box,தி3வாபெடி,तिवाप॑टि,ꢡꢶꢮꢵꢦꢾꢜꢶ
பணியாரச் சட்டி   ,an iron pan to prepare a tiffin,குளி ஹண்டி3,कुळि हण्डि,ꢒꢸꢳꢶ ꢲꢠ꣄ꢞꢶ
பரணி  ,jar,பொ4ரணி,भा॑रणि,ꢩꣁꢬꢠꢶ
பழக்கூடை  ,fruit basket,பொள்ளாபு2ட்கி,पा॑ळ्ळा फुट्कि,ꢦꣁꢳꢳꢵ ꢧꢸꢜ꣄ꢒꢶ
பாத்திரம்  ,vessel,பாத்ரொ,पात्रा॑,ꢦꢵꢡ꣄ꢬꣁ
புகை  ,smoke,தூ4ம்,धूम्,ꢤꢹꢪ꣄
புட்டுக்குழல்  ,vessel for making puttu,லம்பு3 புட்டு,लम्बु पुट्टु,ꢭꢪ꣄ꢨꢸ ꢦꢸꢜ꣄ꢜꢶ
பேனாக் கத்தி   ,pen knife,சு2ரி,छुरि,ꢘꢸꢬꢶ
மத்து,Churning rod,கு3சுலத்தெ மொத்து,गुसुलत्त॑ मा॑त्तु,ꢔꢸꢱꢸꢭꢡ꣄ꢡꢾ ꢪꣁꢡ꣄ꢡꢸ
மரவை  ,wooden vessel,கெட்டெ பாத்ரொ,क॑ट्ट॑ पात्रा॑,ꢒꢾꢜ꣄ꢜꢾ ꢦꢵꢡ꣄ꢬꣁ
முறுக்கு உழக்கு    ,a vessel for preparing murukku,தெந்துலா பிள்னாவ்,त॑न्तुला पिळ्नाव्,ꢡꢾꢥ꣄ꢡꢸꢭꢵ ꢦꢶꢳ꣄ꢥꢵꢮ꣄
மூடி,lid,ஜகுனொ,जकुना॑,ꢙꢒꢸꢥꣁ
டம்ளர்,tumbler,பெலொ/போ3னி/,"पा॑ला॑, बोनि","ꢦꢾꢭꣁ, ꢨꣂꢥꢶ"
வடிகட்டி  ,strainer,ஜெல்லட்,ज॑ल्लट,ꢙꢾꢭ꣄ꢭꢜ꣄
