அகங்காரமாக  ,proudly,கெ4ருவ்கனி,घ॑रुव्कनि,ꢕꢾꢬꢸꢮ꣄ꢒꢥꢶ
அகலமாக  ,broadly,விலாஸ்கனி,विलास्कनि,ꢮꢶꢭꢵꢱ꣄ꢒꢥꢶ
அசட்டையாக  ,slackly,அலஸொகனி,अलसा॑कनि,ꢂꢭꢱꣁꢒꢥꢶ
அசிங்கமாக  ,ugly,விகார்கனி,विकार्कनि,ꢮꢶꢒꢵꢬ꣄ꢒꢥꢶ
அடக்க ஒடுக்கமாக   ,obediently,அடஅண்ககன்,अटाण्ककन्,ꢂꢜꢵꢠ꣄ꢒꢒꢥ꣄
அடக்கமாக  ,obediently,ப4வ்யங்கன்,भव्यङ्कन्,ꢩꢮ꣄ꢫꢖ꣄ꢒꢥ꣄
அடிக்கடி  ,"frequently, often",பி2ரிபி2ரி/தெர்ஸு,फिरिफिरि / त॑र्सु,ꢧꢶꢬꢶꢧꢶꢬꢶ / ꢡꢾꢬ꣄ꢱꢸ
அடுத்ததாக  ,next,லெகு3தொ/ப2ராது/ப2ரொ/ப2ள்சொ/ஹொல்லொ,ल॑गुता॑ / फरतु / फरा॑ / फळ्चा॑ / हा॑ल्ला॑,ꢭꢾꢔꢸꢡꣁ / ꢧꢬꢡꢸ / ꢧꢬꣁ ꢧꢳ꣄ꢗꣁ / ꢲꣁꢭ꣄ꢭꣁ
அடுத்து  ,next,ப2ல்சொ,फल्चा॑,ꢧꢭ꣄ꢗꣁ
அதன்படி  ,accordingly,த்யெதா4னு,तिय॑धानुक्,ꢡꢶꢫꢾꢢꢵꢥꢸꢒ꣄
அதன் பின்  ,after that,த்யெப2ல்சொ,तिय॑फल्चा॑,ꢡꢶꢫꢾ ꢧꢭ꣄ꢗꣁ
அதனால்  ,so,ஹாலிம்/லெந்தொ,हालिम् / ल॑न्ता॑,ꢲꢵꢭꢶꢪ꣄ / ꢭꢾꢥ꣄ꢡꣁ
அதன்விளைவாக  ,thereupon,தெல்யகஹால்,त॑ल्यकहाल्,ꢡꢾꢭ꣄ꢫꢒꢲꢵꢭ꣄
அதாவது  ,That is,அர்தா2த்,अर्थात,ꢂꢬ꣄ꢢꢵꢡ꣄
அதிர்ஷ்டவசமாக   ,luckily,அதி3ர்ஷ்டுகனி,अतिर्ष्टुकनि,ꢂꢡꢶꢬ꣄ꢰ꣄ꢜꢸꢒꢥꢶ
அநியாயமாக  ,Unjustly,ந்யாவ் நீ:தொ,नियाव न्हीता॑,ꢥꢶꢫꢵꢮ꣄ ꢥꢴꢷꢡꣁ
அநேகமாக  ,approximately,ரமாரமி/ உன்ன உபிர்கனி/ தோராயம்கனி,रमारमि / उन्न उपिर्कनि / तोरायम्कनि,ꢬꢪꢵ ꢬꢪꢶ / ꢆꢥ꣄ꢥ ꢆꢦꢶꢬ꣄ꢒꢥꢶ / ꢡꣂꢬꢫꢪ꣄ꢒꢥꢶ
