Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢔꢾꢬꢸꢮ,ग॑रुव,கெ3ருவ்,ge'ruva,gEruva,gĕruva,geɾuʋə,proudness,அகங்காரம்  
ꢮꢶꢗꢵꢬ꣄,विचार्,விசார்,vichaar,vicAr,vicār,ʋɪt͡ʃɑːɾ,lamenting,அங்கலாய்ப்பு  
ꢲꢾꢞ꣄ꢞꢾ,ह॑ड्ड॑,ஹெட்3டெ3,he'd'd'e',hEDDE,hĕḍḍĕ,ɦeɖɖe,booby,அசடு  
ꢂꢱꢶꢖ꣄ꢔꢪ,असिङ्गम,அஸிங்க3ம்,asingama,asiGgama,asiṅgama,əs̪ɪŋgəmə,ugly,அசிங்கம்  
ꢮꢶꢥꢫꣁ,विनया॑,விநயொ,vinayo',vinayO,vinayŏ,ʋɪn̪əjo,"modesty, obedience",அடக்கம்  
ꢩꢙꢵꢬꢶꢥ꣄,भजारिन्,ப4ஜாரின்,bhajaarin,bhajArin,bhajārin,bʰəd͡ʒɑːɾɪn̪,termagant,அடங்காப்பிடாரி   
ꢭꢮ꣄ꢠ꣄ꢞꢶ,लव्ण्डि,லவ்ண்டி3,lavnd'i,lavNDi,lavṇḍi,ləʋɳɖɪ,termagant,அடங்காப்பிடாரி   
ꢩꢵꢙꢵꢬꢶꢦꢥ꣄,भाजारिपन,ப4ஜாரிபன்,bhaajaaripan,bhAjAripan,bhājāripan,bʰɑːd͡ʒɑːɾɪpən̪,termagancy,அடங்காப்பிடாரித்தனம்   
ꢣꢵꢱ꣄,दास्,தா3ஸ்,daas,dAs,dās,d̪ɑːs̪,slave,அடிமை  
ꢣꢵꢱꢶ,दासि,தா3ஸி,daasi,dAsi,dāsi,d̪ɑːs̪ɪ,slave,அடிமை  
ꢣꢵꢱꢦ꣄ꢦꢥ꣄,दासप्पन्,தா3ஸப்பன்,daasappan,dAsappan,dāsappan,d̪ɑːs̪əppən̪,slavery,அடிமைத்தனம்  
ꢂꢤꢶꢒꢵꢬ꣄,अधिकार्,அதி4கார்,adhikaar,adhikAr,adhikār,əd̪ʰɪkɑːɾ,power,அதிகாரம்  
ꢃꢗ꣄ꢗꢬ꣄ꢫꣁ,आच्चया॑,ஆச்சர்யொ,aachcharyo',AccaryO,āccaryŏ,ɑːt͡ʃt͡ʃəɾjo,surprise,அதிசயம்  
ꢂꢡꢶꢬꢸꢦ꣄ꢡꢶ,अतिरुप्ति,அதிருப்தி,atirupti,atirupti,atirupti,ət̪ɪɾupt̪ɪ,dissatisfaction,அதிருப்தி  
ꢂꢣꢸꢰ꣄ꢜꢸ,अदुष्टु,அது3ஷ்டு,adusht'u,aduSTu,aduṣṭu,əd̪uʂʈu,luck,அதிர்ஷ்டம்  
ꢂꢥ꣄ꢣꢱ꣄ꢡꢸ,अन्दस्तु,அந்த3ஸ்து,andastu,andastu,andastu,ən̪d̪əs̪t̪u,status,அந்தஸ்து  
ꢣꢾꢮꢸꢨꢵꢦ꣄,देवुबाप्,தே3வுபா3ப்,de'vubaap,dEvubAp,dĕvubāp,d̪eʋubɑːp,simpleton,அப்பாவி  
ꢡꢪ꣄ꢪꢵꢞꢶ,तम्माडि,தம்மாடி3,tammaad'i,tammADi,tammāḍi,t̪əmmɑːɖɪ,simpleton,அப்பாவி  
ꢂꢦ꣄ꢬꢵꢠꢶ,अप्राणि,அப்ராணி,apraani,aprANi,aprāṇi,əpɾɑːɳɪ,simpleton,அப்பாவி  
ꢂꢥꢬ꣄ꢢꢸꢮꢡ꣄ꢡꣁ,अन्र्थुवत्तो,அனர்து2வத்தொ,anarthuvatto',anarthuvattO,anarthuvattŏ,ən̪əɾt̪ʰuʋət̪t̪o,absurdity,அபத்தம்  
