Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢗꢸꢳ꣄ꢳꣁ,चुळ्ळा॑,சுல்லொ,chul'l'o',cuLLO,cul̤l̤ŏ,t͡ʃuɭɭo,stove (oven),அடுப்பு  
ꢡꢜꣁ,तटो,தடொ,tat'o',taTO,taṭŏ,t̪əʈo,peg,ஆப்பு  
ꢄꢜ꣄ꢒꢶ,इट्कि,இட்கி,it'ki,iTki,iṭki,ɪʈkɪ,forceps,இடுக்கி  
ꢮꢶꢜ꣄ꢒꢶ,विट्कि,விட்கி,vit'ki,viTki,viṭki,ʋɪʈkɪ,forceps,இடுக்கி  
ꢭꢴꣁꢔꢠꢸꢦꢾꢜꢶ,ल्हा॑गणुप॑टि,லொ:க3ணுபெடி,lho'ganupe't'i,lhOgaNupETi,lhŏgaṇupĕṭi,lɦogəɳupeʈɪ,iron self,இரும்புப் பெட்டி   
ꢱꢸꢬꢸꢔ꣄,सुरुग,ஸுருக்3,surug,surug,surug,s̪uɾug,drawer of a table,இழுப்பறை  
ꢔꢾꢱꢶꢥ ꢶꢦꢾꢜꢶ,ग॑सिनि प॑टि,கெ3ஸினிபெடி,ge'sina ipe't'i,gEsina ipETi,gĕsina ipĕṭi,ges̪ɪn̪ə ɪpeʈɪ,iron box,இஸ்திரிப்பெட்டி  
ꢱꢜꣁ,सटा॑,ஸடொ,sat'o',saTO,saṭŏ,s̪əʈo,ladder,ஏணி  
ꢱ꣄ꢬꢿꢠꢶ,स्रेणि,ஸ்ரேணி,sreni,sreNi,sreṇi,s̪ɾeːɳɪ,ladder,ஏணி  
ꢗꢶꢡ꣄ꢬꢸ,चित्रु,சித்ரு,chitru,citru,citru,t͡ʃɪt̪ɾu,painting,ஓவியம்  
ꢗꢶꢡ꣄ꢡꢸꢬ꣄,चित्तुर,சித்துர்,chittur,cittur,cittur,t͡ʃɪt̪t̪uɾ,painting,ஓவியம்  
ꢪꢛ꣄ꢗꢸ,मञ्चु,மஞ்சு,manchu,maJcu,mañcu,məɲt͡ʃu,cot,கட்டில்  
ꢪꣁꢛ꣄ꢗꣁ,मा॑ञ्चा॑,மொஞ்சொ,mo'ncho',mOJcO,mŏñcŏ,moɲt͡ʃo,cot,கட்டில்  
ꢕꢾꢜꢶꢔꢳꣁ,घ॑टिगळा॑,கெ4டி3க3ளொ,ghe't'igal'o',ghETigaLO,ghĕṭigal̤ŏ,gʰeʈɪgəɭo,wrist watch,கடிகாரம்  
ꢣꢮ꣄ꢠꣁ,दव्णा॑,த3வ்ணொ,davno',davNO,davṇŏ,d̪əʋɳo,mirror,கண்ணாடி  
ꢂꢣ꣄ꢣꢪ꣄,अद्दम,அத்3த3ம்,addam,addam,addam,əd̪d̪əm,mirror,கண்ணாடி  
ꢘꢸꢬꢶ,छुरि,சு2ரி,chhuri,churi,churi,t͡ʃʰuɾɪ,knife,கத்தி  
ꢒꢾꢡ꣄ꢡꢶꢬꢶꢒꢾ,क॑त्तिरिक॑,கெத்திரிகெ,ke'ttirike',kEttirikE,kĕttirikĕ,ket̪t̪ɪɾɪke,scissors,கத்திரி  / கத்திரிக்கோல்
ꢒꢪ꣄ꢨ꣄ꢭꣁ,कम्ब्ळा॑,கம்ப்3ளொ,kamblo',kamblO,kamblŏ,kəmblo,wollen blanket,கம்பளிப் போர்வை   
