alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
அண்டு3னு,aNDunu,சூல்கள்,Ovules,பராக3ணாக் ப2ராது அண்டு3 பீ3க்கன் ஹோஸு,paraagaNaak pharaatu aNDu beekkan hOsu,மகரந்தச் சேர்க்கைக்குப் பிறகு சூல் விதையாக உருவாகிறது,Ovule develops into seed after pollination
சூளுநாளு,cooLunaaLu,சூல் தண்டு,Ovule stalk,சூளுநாளு கொனாம் பூ2ல் பு2லஸு,cooLunaaLu konaam phool phulasu,சூல் தண்டின் முனையில் பூ பூக்கிறது,The flower blooms at the end of the stalk
ஜீவணு,jeevaNu,மகரந்தம்,Pollen,த3ல்லா பூ2ல் ஜீவணுக் ப4ராட் ஸொட3ஸு,dallaa phool jeevaNuk bharaaT soDasu,ஆண் பூக்கள் மகரந்தத்தை வெளியிடுகின்றன,Male flowers release pollen
பராக3ணொ,paraagaNo,மகரந்தச் சேர்க்கை,Pollination,மை ம்ஹகி2 பராக3ணாக் ஸஹாவ் கெரஸு,mai mhakhi paraagaNaak sahaav kerasu,தேனீக்கள் மகரந்தச் சேர்க்கைக்கு உதவுகின்றன,Honey bees help in pollination
பிந்தொ3,pindo,பிஞ்சு,Tender fruit,வள்கா பிந்தொ3 ருசிகன் ர்ஹாயி,vaLkaa pindo rucikan rhaayi,வெள்ளரிகாய் பிஞ்சு சுவையாக இருக்கும்,Tender cucumber is very tasty
கொம்ப்3ளொ,kombLo,இளசு,Tender leaf,நாய்ப்பான் வேன் கொம்ப்3ளொ ஸே,naayppaan vEn kombLo sE,வெற்றிலை மிகவும் இளசாக உள்ளது,Betel leaves are very tender
கய்லோ,kaylO,காய்,Unripe,இம்ப்3ளொ அங்கு3 கய்லொகன் ஸே,imbLo anggu kaylokan sE,கொய்யாப்பழம் இன்னும் காயாக உள்ளது,The guava fruit is still unripe
கச்செ,kacce,"பச்சையான, பழுக்காத",Green or Unripe,கச்செ மிர்க்கைலொ திக்கெ வேன் ர்ஹாயி,kacce mirkkailo tikke vEn rhaayi,பச்சை மிளகாய் காரம் அதிகம் இருக்கும்,Green chillies are very spicy
பிக்கெ,pikke,பழுத்த,Ripe,பிக்கெ பொள்ளள்னு கு3ல்லெகன் ர்ஹாயி,pikke poLLaLnu gullekan rhaayi,பழுத்த பழங்கள் இனிப்பாக இருக்கும்,Ripe fruits are sweet
பொள்ளொ,poLLo,பழம்,Fruit,ஹுனளாம் ஜு2கு3 பொள்ளான் அப்3ப3யி,hunaLaam jhugu poLLaan abbayi,கோடையில் நிறைய பழங்கள் கிடைக்கும்,A lot of fruits are available in summer
