ꢲꣁꢞꢵꢬ꣄,हा॑डार्,ஹொடா3ர்,quadrangle inside the house,அங்கணம்  
ꢬꢮꢸꢳ꣄,रवुळ,ரவுள்,palace,அரண்மனை  
ꢕꣁꢪ꣄ꢪꣁ,घा॑म्मा॑,கொ4ம்மொ,room,அறை  
ꢂꢬꣁ,अरा॑,அரொ,room,அறை  
ꢡꢮ꣄ꢬꢪ꣄,तव्रम,தவ்ரம்,room,அறை  
ꢕꢿꢬ꣄,घेर्,கே4ர்,house,இல்லம்  
ꢓꢥꢶꢡꢮ꣄ꢬꢪ꣄,खनि तव्रम,க2னி தவ்ரம்,dining hall,உணவறை  
ꢲꢥ꣄ꢣꢮꢸ ꢡꢮ꣄ꢬꢪ꣄,हन्दवु तव्रम,ஹந்த3வு தவ்ரம்,dining hall,உணவறை  
ꢆꢛ꣄ꢗꢳꣁ,उञ्चळा॑,உஞ்சலொ,swing,ஊஞ்சல்  
ꢲꢶꢥ꣄ꢣꢳꢶ,हिन्दळि,ஹிந்த3ளி,swing,ஊஞ்சல்  
ꢓꢮ꣄ꢬꢵ ꢕꢿꢬ꣄,खव्राघेर्,க2வ்ராகே4ர்,tiled house,ஓட்டுவீடு  
ꢓꢮ꣄ꢬꣁ,खव्रो,க2வ்ரொ,tile,ஓடு  
ꢐꢞꣁ,आ॑डा॑,ஓடொ3,gutter,ஓடை  
ꢦꢬꢸꢠ꣄ꢜꢵ ꢕꢿꢬ꣄,परुण्टाघेर्,பருண்டா3கே4ர்,thatched house,ஓலைவீடு  
ꢩꢮꢥ꣄,भवन्,ப4வன்,Plot/ house,கட்டிடம்  
ꢒꢮꢵꢜ꣄,कवाट्,கவாட்,door,கதவு  
ꢬꢴꢾꢜꣁ,र॑डा॑,ரெ:டொ3,pulley,கப்பி  
ꢗꢶꢞꢵꢫ ꣄ꢣꢾꢫ꣄ꢞꣁ,चिडाय्देय्डो,சிடா3ய்தெ3ய்டொ3,black stone,கருங்கல்  
ꢒꢳꢵ ꢣꢾꢔꢸꢞꣁ,कळादेगुडो,களாதெ3கு3டொ3,black stone,கருங்கல்  
ꢪꢳꣁ,मळा॑,மளொ,latrine,கழிப்பறை  
ꢲꢷꢬ꣄,हीर्,ஹீர்,well,கிணறு  
ꢒꢸꢜ꣄ꢱꢾ,कुट्स॑,கு3ட்3ஸெ,hut,குடிசை  
ꢒꣁꢳꢵꢫ꣄,का॑ळाय,கொளாய்,tap,குழாய்  
ꢥꢳꢶꢒꣁ,नळिका॑,நளிகொ,tap,குழாய்  
ꢱ꣄ꢥꢵꢥꢸ ꢕꢿꢬ꣄,स्नानु घेर,ஸ்நானு கே4ர்,bathroom,குளியலறை  
ꢓꣁꢜ꣄ꢜꣁ,खा॑ट्टा॑,கொ2ட்டொ,hall,கூடம்  
