-,ꢂ,ꢂꢪ꣄ꢪꣁ,sourashtra,,,'ꢂꢪꢪ':1 'ammo':2 'ammŏ':3 'chickenpox':4 'அம':5,health|medical|wellness,अम्मा॑|அம்மொ|ammo'|ammO|ammŏ|əmmo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,chickenpox,english,,english,,health|medical|wellness,,noun,
^,,அம்மை,tamil,,tamil,'அமம':1 'chickenpox':2 'அம':3,health|medical|wellness,அம்மொ,noun,
-,ꢓ,ꢓꢮ꣄ꢙꢵꢮ꣄,sourashtra,,,'ꢓꢮꢙꢮ':1 'khavjaav':2 'khavjav':3 'khavjāv':4 'itching':5 'itch':6 'அர':7,health|medical|wellness,खव्जाव|க2வ்ஜாவ்|khavjaav|khavjAv|khavjāv|kʰəʋd͡ʒɑːʋ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,itching,english,,english,,health|medical|wellness,,noun,
^,,அரிப்பு,tamil,,tamil,'அரபப':1 'itching':2 'itch':3 'அர':4,health|medical|wellness,க2வ்ஜாவ்,noun,
-,ꢓ,ꢓꢵꢱ꣄,sourashtra,,,'ꢓꢱ':1 'khaas':2 'khas':3 'khās':4 'itching':5 'itch':6 'அர':7,health|medical|wellness,खास|கா2ஸ்|khaas|khAs|khās|kʰɑːs̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,itching,english,,english,,health|medical|wellness,,noun,
^,,அரிப்பு,tamil,,tamil,'அரபப':1 'itching':2 'itch':3 'அர':4,health|medical|wellness,கா2ஸ்,noun,
-,ꢗ,ꢗꢶꢥꢲꢸ,sourashtra,,,'ꢗꢥꢲ':1 'chinahu':2 'cinahu':3 'sign':4 'அற':5,health|medical|wellness,चिनहु|சின்ஹு|chinahu|cinahu|cinahu|t͡ʃɪn̪əɦu,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,sign,english,,english,,health|medical|wellness,,noun,
^,,அறிகுறி,tamil,,tamil,'அறகற':1 'sign':2 'அற':3,health|medical|wellness,சின்ஹு,noun,
-,ꢧ,ꢧꢜꢶꢥꢶ,sourashtra,,,'ꢧꢜꢥ':1 'phatini':2 'phaṭini':3 'operation':4 'அற':5,health|medical|wellness,फटिनि|ப2டினி|phat'ini|phaTini|phaṭini|pʰəʈɪn̪ɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,operation,english,,english,,health|medical|wellness,,noun,
^,,அறுவை,tamil,,tamil,'அறவ':1 'operation':2 'அற':3,health|medical|wellness,ப2டினி,noun,
-,ꢂ,ꢂꢙꢷꢬ꣄ꢥꢸ,sourashtra,,,'ꢂꢙꢬꢥ':1 'ajeernu':2 'ajirnu':3 'ajīrnu':4 'indigestion':5 'அஜ':6 'ரணம':7,health|medical|wellness,अजीर्णु|அஜீர்ணு|ajeernu|ajIrnu|ajīrnu|əd͡ʒiːɾn̪u,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,indigestion,english,,english,,health|medical|wellness,,noun,
^,,அஜீரணம்,tamil,,tamil,'அஜரணம':1 'indigestion':2 'அஜ':3 'ரணம':4,health|medical|wellness,அஜீர்ணு,noun,
-,ꢱ,ꢱꣃꢒ꣄ꢫꢪ꣄,sourashtra,,,'ꢱꢒꢫꢪ':1 'saukyam':2 'health':3 'ஆர':4 'யம':5,health|medical|wellness,सौक्यम्|ஸௌக்யம்|saukyam|saukyam|saukyam|s̪əukjəm,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,health,english,,english,,health|medical|wellness,,noun,
^,,ஆரோக்கியம்,tamil,,tamil,'ஆரககயம':1 'health':2 'ஆர':3 'யம':4,health|medical|wellness,ஸௌக்யம்,noun,
-,ꢂ,ꢂꢱ꣄ꢦꢡ꣄ꢡꢶꢬꢶ,sourashtra,,,'ꢂꢱꢦꢡꢡꢬ':1 'aspattiri':2 'hospital':3 'ஆஸ':4 'பத':5,health|medical|wellness,अस्पत्तिरि|அஸ்பத்திரி|aspattiri|aspattiri|aspattiri|əs̪pət̪t̪ɪɾɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,hospital,english,,english,,health|medical|wellness,,noun,
^,,ஆஸ்பத்திரி,tamil,,tamil,'ஆஸபததர':1 'hospital':2 'ஆஸ':3 'பத':4,health|medical|wellness,அஸ்பத்திரி,noun,
-,ꢃ,ꢃꢱꢸ ꢩꢣ꣄ꢬꢶ,sourashtra,,,'ꢃꢱꢩꢣꢬ':1 'aasubhadri':2 'asubhadri':3 'āsubhadri':4 'hospital':5 'ஆஸ':6 'பத':7,health|medical|wellness,आसु भद्रि|ஆஸு ப4த்3ரி|aasu bhadri|Asu bhadri|āsu bhadri|ɑːs̪u bʰəd̪ɾɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,hospital,english,,english,,health|medical|wellness,,noun,
^,,ஆஸ்பத்திரி,tamil,,tamil,'ஆஸபததர':1 'hospital':2 'ஆஸ':3 'பத':4,health|medical|wellness,ஆஸு ப4த்3ரி,noun,
-,ꢓ,ꢓꣁꢮ꣄ꢭꣁ,sourashtra,,,'ꢓꢮꢭ':1 'khovlo':2 'khŏvlŏ':3 'cough':4 'இர':5 'மல':6,health|medical|wellness,खा॑व्ला॑|கொ2வ்லொ|kho'vlo'|khOvlO|khŏvlŏ|kʰoʋlo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,cough,english,,english,,health|medical|wellness,,noun,
^,,இருமல்,tamil,,tamil,'இரமல':1 'cough':2 'இர':3 'மல':4,health|medical|wellness,கொ2வ்லொ,noun,
-,ꢱ,ꢱꢮ꣄ꢬꢶꢫꢪ꣄,sourashtra,,,'ꢱꢮꢬꢫꢪ':1 'savriyam':2 'health':3 'உடல':4 'நலம':5,health|medical|wellness,सव्रियम्|ஸௌரியம்|savriyam|savriyam|savriyam|s̪əʋɾɪjəm,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,health,english,,english,,health|medical|wellness,,noun,
^,,உடல் நலம்,tamil,,tamil,'உடலநலம':1 'health':2 'உடல':3 'நலம':4,health|medical|wellness,ஸௌரியம்,noun,
-,ꢒ,ꢒꢾꢠ꣄ꢜꢵꢦꢷꢭ꣄,sourashtra,,,'ꢒꢠꢜꢦꢭ':1 'kentaapeel':2 'kentapil':3 'kĕṇṭāpīl':4 'sprain':5,health|medical|wellness,क॑ण्टापील्|கெண்டாபீள்|ke'nt'aapeel|kENTApIl|kĕṇṭāpīl|keɳʈɑːpiːl,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,sprain,english,,english,,health|medical|wellness,,noun,
^,,சுளுக்கு,tamil,,tamil,'சளகக':1 'sprain':2,health|medical|wellness,கெண்டாபீள்,noun,
-,ꢄ,ꢄꢥ꣄ꢒꢶꢥꢶ,sourashtra,,,'ꢄꢥꢒꢥ':1 'inkini':2 'sprain':3,health|medical|wellness,इन्किनि|இண்கினி|inkini|inkini|inkini|ɪn̪kɪn̪ɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,sprain,english,,english,,health|medical|wellness,,noun,
^,,சுளுக்கு,tamil,,tamil,'சளகக':1 'sprain':2,health|medical|wellness,இண்கினி,noun,
-,ꢓ,ꢓꢵꢱ꣄,sourashtra,,,'ꢓꢱ':1 'khaas':2 'khas':3 'khās':4 'itching':5 'itch':6 'ஊரல':7,health|medical|wellness,खास्|கா2ஸ்|khaas|khAs|khās|kʰɑːs̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,itching,english,,english,,health|medical|wellness,,noun,
^,,ஊரல்,tamil,,tamil,'ஊரல':1 'itching':2 'itch':3,health|medical|wellness,கா2ஸ்,noun,
-,ꢩ,ꢩꢸꢬꢸꢩꢸꢬꢵꢭ꣄,sourashtra,,,'ꢩꢬꢩꢬꢭ':1 'bhurubhuraal':2 'bhurubhural':3 'bhurubhurāl':4 'itching':5 'itch':6 'ஊரல':7,health|medical|wellness,भुरुभुराल|பு4ருபு4ரால்|bhurubhuraal|bhurubhurAl|bhurubhurāl|bʰuɾubʰuɾɑːl,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,itching,english,,english,,health|medical|wellness,,noun,
^,,ஊரல்,tamil,,tamil,'ஊரல':1 'itching':2 'itch':3,health|medical|wellness,பு4ருபு4ரால்,noun,
