alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
ரெங்கு3,renggu,சாயம்,Dye,பொ3ட்டானுக் ரெங்கு3 ஹிங்க3ட3ஸுன்,boTTaanuk renggu hinggaDasun,துணிகள் சாயமிடப்படுகின்றன,The fabrics are dyed
ரெங்கு3 பு4ர்கொ,renggu bhurko,சாயப்பொடி,Dye powder,ரெங்கு3 பு4ர்கொ ஜு2கு3 வனிம் அப்3ப3ஸு,renggu bhurko jhugu vanim abbasu,சாயப் பொடிகள் பல வண்ணங்களில் கிடைக்கின்றன,Dye powders are available in a lot of coloros
வனி,vani,"நிறம், வண்ணம்","Color, Colour",ல்ஹொவா வனி தொ3ளொ உக்கயி,lhovaa vani doLo ukkayi,சிவப்பு நிறம் கண்ணைக் கவரும்,The red color is eye-catching
களொ,kaLo,கருப்பு,Black,ஸதி3 ஜு2க்குகன் களொ வனிம் ர்ஹாயி,sadi jhukkukan kaLo vanim rhaayi,குடை பெரும்பாலும் கருப்பு நிறத்தில் இருக்கும்,The umbrella is mostly black color
காளொ,kaaLo,கருப்பு,Black,பெ4ய்ஸ் காளொ ர்ஹாயி,bheys kaaLo rhaayi,எருமை கருப்பாக இருக்கும்,The buffalo will be black
களவனி,kaLavani,கருப்பு நிறம்,Black colour,நரெளு ஜா2டு3னும் களவனி ரேஸுனுக் ஸவாயி,nareLu jhaaDunum kaLavani rEsunuk savaayi,தென்னை மரங்களில் கறுப்பு நிற வடுக்களை காணலாம்,Black colored scars can be seen on the coconut trees
ஹுஜால்,hujaal,வெள்ளை,White,தூ3த் ஹுஜால் ர்ஹாயி,doot hujaal rhaayi,பால் வெண்மையாக இருக்கும்,The milk is white
ல்ஹொவொ,lhovo,சிகப்பு,Red,ரெக3த் ல்ஹொவொ ர்ஹாயி,regat lhovo rhaayi,ரத்தம் சிவப்பாக இருக்கும்,The blood will be red
ஹல்கொ ல்ஹொவொ,halko lhovo,இளஞ்சிவப்பு,Pink,த3மர்பூ2ல் ஹல்கொ ல்ஹொவொ வனிம் ர்ஹாயி,damarphool halko lhovo vanim rhaayi,தாமரைப்பூ இளஞ்சிவப்பு நிறத்தில் இருக்கும்,The lotus flower is pink
நிளொ,niLo,"ஊதா, நீலம்",Blue,தெ2வ்டெ3 பொ2ருங்கினுக் தொ3ளொ நிளொ ர்ஹாயி,thevDe phorungkinuk doLo niLo rhaayi,சில வெள்ளையர்களுக்கு நீல நிற கண்கள் இருக்கும்,Some whites have blue eyes
உதொ3,udo,"ஊதா, நீலம்",Sky blue,அகாஸ் ஜு2க்குகன் உதொ3கின் ஶுத்3த3ம்கன் ஹொதெ3ஸி,akaas jhukkukan udokin ssuddamkan hodesi,வானம் பெரும்பாலும் நீலமாகவும் சுத்தமாகவும் இருந்தது,The sky was mostly blue and clear
களொநிளொ,kaLoniLo,கருநீலம்,"Indigo, Blueblack, Dark blue",சுண்டெ லெக்கு கெண்டொ3 களொநிளொ பொள்டி3யொ,cuNTe lekku keNDo kaLoniLo poLDiyo,கிள்ளிய இடத்தில் தோல் நிறம் கருநீலமாக மாறியது,The color of the skin at the pinched spot turned dark blue
ஹள்டு3னொ,haLDuno,மஞ்சள்,Yellow,லிம்பு3 ஹள்டு3னொ ர்ஹாயி,limbu haLDuno rhaayi,எலுமிச்சை மஞ்சள் நிறத்தில் இருக்கும்,Lemon will be yellow
பொள்ஸொ,poLso,பச்சை,Green,ஹரளின் வேன் பொள்ஸொ ர்ஹாயி,haraLin vEn poLso rhaayi,புல் மிகவும் பச்சை நிறமாக இருக்கும்,The grass is very green
பொல்ஸொ / ஹவெடொ3,polso / haveDo,பச்சை,Green,அஸ்கி ப4ஜ்ஜின் பொல்ஸா வனிம் ர்ஹாயி,aski bhajjin polsaa vanim rhaayi,அனைத்து கீரைகளும் பச்சை நிறத்தில் இருக்கும்,All greens are green color
கொ3ரொ,goro,வெள்ளை நிறம்,White (Skin),பொ2ருங்கி3ன் கோ3ரொ ர்ஹானு,phorunggin gOro rhaanu,ஆங்கிலேயர்கள் வெள்ளையாக இருப்பார்கள்,British are whites
சமல்,camal,மாநிறம்,Brown (Skin),பா4ரதும் ஜு2க்குதெனு சமல்கன் ஸே,bhaaratum jhukkutenu camalkan sE,இந்தியாவில் பெரும்பாலான மக்கள் மாநிறத்தில் உள்ளனர்,Most people in India are brown
ராக்,raak,சாம்பல் நிறம்,"Grey color, Gray color, Ash",பொவ்ஸு மேகு4 ராகு வனிம் ஸே,povsu mEghu raaku vanim sE,மழை மேகங்கள் சாம்பல் நிறத்தில் உள்ளன,The rain clouds are gray
கிட்ள,kiTLa,பழுப்பு நிறம்,Light brown,கள்ஜமுன் கிட்ளகன் மர்ச்சய்யொ,kaLjamun kiTLakan marccayyo,காகிதங்கள் பழுப்பு நிறமாக மாறிவிட்டன,The papers have turned light brown
