அங்கீகாரம்  ,recognition,அங்கீ3கார்,अङ्गीकार्,ꢂꢖ꣄ꢔꢷꢒꢵꢬ꣄
அச்சு  ,axis,அச்சு/டங்கு,"अच्चु, टङ्कु","ꢂꢗ꣄ꢗꢸ, ꢜꢖ꣄ꢒꢸ"
அஞ்சல்  ,post,பத்ரவாஹினி,पत्रवाहिनि,ꢦꢡ꣄ꢬꢮꢵꢲꢶꢥꢶ
அஞ்சல்காரர்  ,postman,பத்ரவாஹகொ/பத்ரவாஹொ/ லேகு2வான்,"पत्रवाहका॑, पत्रवाहा॑, लेखुवान","ꢦꢡ꣄ꢬꢮꢵꢲꢒꣁ, ꢦꢡ꣄ꢬꢮꢵꢲꣁ, ꢭꢿꢓꢸꢮꢵꢥ꣄"
அஞ்சலகம்  ,post office,பத்ரவாஹ கார்யாலயொ,पत्रवाह कार्यालया॑,ꢦꢡ꣄ꢬꢮꢵꢲ ꢒꢵꢬ꣄ꢫꢵꢭꢫꣁ
அட்டவணை  ,"table, schedule",கோஷ்டு,कोष्टु,ꢒꣂꢰ꣄ꢜꢸ
அடக்குமுறை  ,oppression,உட்3க3ட்3ணி/ த3மனொ,"उड्गड्णि, दमना॑","ꢆꢞ꣄ꢔꢞ꣄ꢠꢶ, ꢣꢪꢥꣁ"
அடகு  ,pawn,குதொ3,कुदा॑,ꢒꢸꢣꣁ
அடமானம்  ,mortgage,குதொ3,कुदा॑,ꢒꢸꢣꣁ
அடித்தளம்,basement,"கா2ல்த3ள், கா2ல்தொ3ளம்","खाल्दळ,  खाद॑ळम्",ꢓꢵꢭ꣄ꢣꢳ꣄ ꢓꢵꢭ꣄ꢣꢾꢳꢪ꣄
அடிப்படையுரிமை   ,fundamental right,ஆதா4ரு பா3த்யதொ,आधारु बाद्यता॑,ꢃꢤꢵꢬꢸ ꢨꢵꢡ꣄ꢫꢡꣁ
அணிவகுப்பு  ,parade,ஸ்ரேணிசால்,स्रेणिचाल,ꢱ꣄ꢬꢿꢠꢶꢗꢵꢭ꣄
அதிகாரம்  ,"power, authority",அத்க்யார்,अत्क्यार्,ꢂꢡ꣄ꢒꢫꢵꢬ꣄
அதிகாரி  ,officer,அத்க்யாரி,अत्क्यारि,ꢂꢡ꣄ꢒ꣄ꢫꢵꢬꢶ
அமைச்சகம்  ,ministry,மந்த்ரிகார்யாலயொ,मन्त्रि कार्यालया॑,ꢪꢥ꣄ꢡ꣄ꢬꢶ ꢒꢵꢬ꣄ꢫꢵꢭꢫꣁ
அமைச்சர்  ,minister,மந்த்ரி/அமாத்யொ,"मन्त्रि, अमात्या॑","ꢪꢥ꣄ꢡ꣄ꢬꢶ, ꢂꢪꢵꢡ꣄ꢫꣁ"
அமைச்சரவை  ,cabinet,மந்த்ரிஸபொ3,मन्त्रिसबा॑,ꢪꢥ꣄ꢡ꣄ꢬꢶꢱꢨꣁ
அமைதி  ,peace,ஶாந்தி,शान्ति,ꢯꢵꢥ꣄ꢡꢶ
அமைப்பாளர்  ,organizer,ஸங்க4டிகொ/ ஸஞ்சலனகாரொ,"सङ्घटिका॑, सञ्चलनकारा॑","ꢱꢖ꣄ꢕꢜꢶꢒꣁ, ꢱꢛ꣄ꢗꢭꢥꢒꢵꢬꣁ"
அயல்நாடு  ,foreign country,விதே3ஸ்/ ப4ரளதே3ஸ்,"विदेस्,   भरळदेस्","ꢮꢶꢣꢿꢱ꣄, ꢩꢬꢳꢡꢿꢱ꣄"
