Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢆꢦꢡ꣄ꢫꢒꣁ,उपत्यका॑,உபத்யகொ,upatyako',upatyakO,upatyakŏ,upət̪jəko,foot-hill,அடிவாரம் 
ꢱꢥ꣄ꢤꢶ,सन्धि,ஸந்தி4,sandhi,sandhi,sandhi,s̪ən̪d̪ʰɪ,horizon,அடிவானம் 
ꢱꢾꢡꢸ,सेदु,ஸேது,se'tu,sEtu,sĕtu,s̪et̪u,dam,அணை 
ꢂꢳ,अळ,அள,al'a,aLa,al̤a,əɭə,dam,அணைக்கட்டு 
ꢱꢾꢡꢸ,सेदु,ஸேது,se'tu,sEtu,sĕtu,s̪et̪u,dam,அணைக்கட்டு 
ꢚꢬꢶ,झरि,ஜ2ரி,jhari,jhari,jhari,d͡ʒʰəɾɪ,water falls,அருவி 
ꢭꢵꢜ꣄,लाट्,லாட்,laat',lAT,lāṭ,lɑːʈ,wave,அலை 
ꢱꢸꢥ꣄ꢣꢸꢬ꣄,सुन्दुर्,ஸுந்து3ர்,sundur,sundur,sundur,s̪un̪d̪uɾ,sea,ஆழி 
ꢥꢾꢣ꣄ꢣꢶ,न॑द्दि,நெத்3தி3,ne'ddi,nEddi,nĕddi,n̪ed̪d̪ɪ,river,ஆறு 
ꢦꢮꢶ,पवि,பவி,pavi,pavi,pavi,pəʋɪ,thunder,இடி 
ꢪꣁꢱ꣄ꢫꢵꢥ꣄,मा॑स्यान्,மொஸ்யான்,mo'syaan,mOsyAn,mŏsyān,mos̪jɑːn̪,burial ground,இடுகாடு 
ꢦ꣄ꢬꢒꢺꢡꢶ,प्रुकृति,ப்ரக்ருதி,prakri'ti,prakRti,prakṛti,pɾəkɾɨt̪ɪ,nature,இயற்கை 
ꢆꢥ꣄ꢣꢬ꣄,हन्दार्,ஹந்தா3ர்,undar,undar,undar,un̪d̪əɾ,darkness,இருட்டு 
ꢂꢥ꣄ꢣꢬ꣄,हन्दार्,ஹந்தா3ர்,andar,andar,andar,ən̪d̪əɾ,darkness,இருள் 
ꢒꢱꢸ,कसु,கஸு,kasu,kasu,kasu,kəs̪u,water spring,ஊற்று 
ꢲꢸꢳꢵꢔ꣄ꢔꢶꢬꢶ,हुळाग्गिरि,ஹுளாக்3கி3ரி,hul'aaggiri,huLAggiri,hul̤āggiri,ɦuɭɑːggɪɾɪ,volcano,ஏரிமலை 
ꢡꢳꣁ,तळा॑,தளொ,tal'o',taLO,tal̤ŏ,t̪əɭo,lake,ஏரி 
ꢱꢾꢣ꣄ꢣꢸ,स॑द्दु,ஸெத்3து3,se'ddu,sEddu,sĕddu,s̪ed̪d̪u,sound,ஒலி 
ꢲꢸꢙꢵꢳ꣄,हुजाळ,ஹுஜாள்,hujaal',hujAL,hujāl̤,ɦud͡ʒɑːɭ,light,ஒளி 
ꢱꢨ꣄ꢣꢸ,सब्दु,ஸப்3து3,sabdu,sabdu,sabdu,s̪əbd̪u,sound,ஓசை 
