alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
கலம்,kalam,காலம்,Period,ராமுடு3 ஜிவெ கலம் திரேதா யுக3ம்,raamuDu jive kalam tirEtaa yugam,ராமர் வாழ்ந்த காலம் திரேதா யுகம்,The period during which Rama lived was the Thiretha Yuga
காலு,kaalu,காலம்,Period,பா3ல்ய காலும் சொவ்து3னொ,baalya kaalum covduno,இளமைப் பருவத்தில் படிக்க வேண்டும்,Should study in adolescence period
காலு,kaalu,"காலம், ஆண்டு",Ages,மீ தொகொ3 ஜு2கு3 காலு தொகன் ஸீரனி,mee togo jhugu kaalu tokan seerani,நான் உன்னை பல ஆண்டுகளாக பார்த்ததில்லை,I haven't seen you in ages
காள்,kaaL,காலம்,Period,மென்க்யான் து3க்வாளு காளும் பு3ள்ளான் க2யாஸி,menkyaan dukvaaLu kaaLum buLLaan khayaasi,பஞ்ச காலத்தில் மக்கள் கிழங்குகளை உண்டார்கள்,During the famine period people ate tubers
த3ஶா,dassaa,"காலம், பருவம்",Period,வார்தி4க்யொ த3ஶாம் விஶ்ராந்திகன் ர்ஹனொ,vaardhikyo dassaam vissraantikan rhano,வயதான காலத்தில் ஓய்வாக இருக்க வேண்டும்,Should rest during old aged period
காலாந்த்ரம்,kaalaantram,"கால வெள்ளம், காலப்போக்கு",Over a period of time,காலாந்த்ரமு அஸ்கி மர்ச்சாஸு,kaalaantramu aski marccaasu,"காலப்போக்கில், எல்லாம் மாறுகிறது","Over a period of time, everything changes"
ர்ருது,rrutu,"பருவம், பருவகாலம்",Season,பா4ரதும் ஸோ ர்ருதுன் ஸே,bhaaratum sO rrutun sE,இந்தியாவில் ஆறு பருவங்கள் உள்ளன,There are six seasons in India
ஹூநுகலம்,hoonukalam,"வெயிற்காலம், கோடை",Summer,ஹூநுகலமு பக்ஷினுக் பனி தே3த்தெ சொக்கடு3,hoonukalamu pakshinuk pani dEtte cokkaDu,கோடையில் பறவைகளுக்கு தண்ணீர் கொடுப்பது நல்லது,It is good to water the birds in summer
பொவ்ஸுகலம்,povsukalam,மழைக்காலம்,"Monsoon, Rainy season",பொவ்ஸுகலமு முது3ல்லாமுஸ் பீகு க4ல்தஸுன்,povsukalamu mudullaamus peeku ghaltasun,மழைக் காலத்திற்கு முன்பே விதை விதைக்கிறார்கள்,The seed is sown before the rainy season
ஹிமுஸுகலம்,himusukalam,குளிர்காலம்,"Pre Winter, Cool Season",ஹிமுஸுகலமு ஸில்லொ வரொ ஹனயி,himusukalamu sillo varo hanayi,குளிர்காலத்தில் குளிர்ந்த காற்று வீசும்,Cold winds blow in the pre-winter seasons
மொஞ்சுகலம்,monjcukalam,பனிக்காலம்,Winter,மொஞ்சுகலமு ஒள்டு3ன் பா3தொ3 பொட3ஸுன்,monjcukalamu oLDun baado poDasun,பனிக்காலத்தில் வயதானவர்கள் அவதிப்படுகின்றனர்,The elderly suffer in the winter
வரளொ,varaLo,வஸந்தகாலம்,Spring,வரளாம் பூ2லுன் பி3ஸ்ஸொ ஹொடி3 பு2லஸு,varaLaam phoolun bisso hoDi phulasu,வசந்த காலத்தில் பூக்கள் வேகமாக வளர்ந்து பூக்கும்,In Spring flowers grow faster and bloom
ஹுனளொ,hunaLo,"வெயிற்காலம், கோடை",Summer,வளுராணும் ஹுனளாம் ஹூன் வேன் ர்ஹாயி,vaLuraaNum hunaLaam hoon vEn rhaayi,பாலைவனத்தில் கோடை வெப்பம் அதிகமாக இருக்கும்,Summers are hotter in the desert
பொஸளொ,posaLo,மழைக்காலம்,"Monsoon, Rainy season",பொஸளாம் பிடு3 பொட3ஸு,posaLaam piDu poDasu,மழைக்காலத்தில் மின்னல் மின்னுகிறது,Lightning flashes in the rainy season
பொஸ்லொ,poslo,மழைக்காலம்,"Monsoon, Rainy season",பொஸ்லா கலமு பெ3ஸ்களினுக் ஸவாயி,poslaa kalamu beskaLinuk savaayi,மழைக்காலத்தில் தவளைகளைக் காணலாம்,Frogs can be seen during the rainy season
ஶிரளொ,ssiraLo,இலையுதிர்காலம்,Autumn,ஶிரளாம் ஜா2டு3ன் பான் லலத்தக் ஹர்ம்ப3ம் கெரஸு,ssiraLaam jhaaDun paan lalattak harmbam kerasu,"இலையுதிர் காலத்தில், மரங்கள் இலைகளை உதிர்க்கத் தொடங்குகின்றன","In autumn, the trees begin to shed their leaves"
ஹிமளொ,himaLo,குளிர்காலம்,Pre Winter / Cool Season,ஹிமுஸுகலமு ஸில்லொ வரொ ஹனயி,himusukalamu sillo varo hanayi,குளிர்காலத்தில் குளிர்ந்த காற்று வீசும்,Cold winds blow in the pre-winter seasons
இரளொ,iraLo,பனிக்காலம்,Winter,இரளா கலமு ஸில்லா தே3ஶும் ஒஸு பொட3ஸு,iraLaa kalamu sillaa dEssum osu poDasu,பனிக்காலத்தில் குளிர் நாடுகளில் பனிப்பொழிவு ஏற்படுகிறது,Snowfall occurs in colder countries during the winter
