Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢂꢒꢬꢵꢡꢶ,अकराति,அகராதி,akaraati,akarAti,akarāti,əkəɾɑːt̪ɪ,dictionary,அகரமுதலி / அகராதி
ꢥꢶꢒꢠ꣄ꢜꢸ,निकण्टु,நிகண்டு,nikant'u,nikaNTu,nikaṇṭu,n̪ɪkəɳʈu,dictionary,அகரமுதலி / அகராதி
ꢒꣂꢰ꣄,कोष,கோஷ்,kosh,koS,koṣ,koːʂ,dictionary,அகரமுதலி / அகராதி
ꢂꢤ꣄ꢫꢵꢫ꣄,अध्याय,அத்4யாய்,adhyaay,adhyAy,adhyāy,əd̪ʰjɑːj,chapter,அத்தியாயம் 
ꢮꢶꢣꢿꢯꢸ ꢩꢵꢰꣁ,विदेशु भाषा॑,விதே3ஶு பா4ஷொ,videshu bhaasho',videzu bhASO,videśu bhāṣŏ,ʋɪd̪eːʃu bʰɑːʂo,foreign language,அயல்மொழி 
ꢬꢵꢙꢥꢷꢡꢶ,राजनीति,ராஜநீதி,raajaneeti,rAjanIti,rājanīti,ɾɑːd͡ʒən̪iːt̪ɪ,politics,அரசியல் 
ꢬꢵꢙꢥꢷꢡꢶ ꢱꢵꢱ꣄ꢡ꣄ꢬꢸ,राजनीति सास्त्रु,ராஜநீதி ஸாஸ்த்ரு,raajaneeti saastru,rAjanIti sAstru,rājanīti sāstru,ɾɑːd͡ʒən̪iːt̪ɪ s̪ɑːs̪t̪ɾu,political science,அரசியலியல் 
ꢬꢵꢙꢥꢷꢡꢶ ꢛꢵꢥ꣄,राजनीति ञान्,ராஜநீதி ஞான்,raajaneeti nyaan,rAjanIti JAn,rājanīti ñān,ɾɑːd͡ʒən̪iːt̪ɪ ɲɑːn̪,political science,அரசியலியல் 
ꢒꢵꢬ꣄ꢫꢵꢭꢫꣁ,कार्यलया॑,கார்யாலயொ,kaaryaalayo',kAryAlayO,kāryālayŏ,kɑːɾjɑːləjo,office,அலுவலகம் 
ꢱꢣꢸꢰ꣄ꢜꢪ꣄,सदुष्टम्,ஸது3ஷ்டம்,sadusht'am,saduSTam,saduṣṭam,s̪əd̪uʂʈəm,clue,அறிகுறி
ꢱꢾꢔꢸꢠ,स॑गुन,ஸெகு3ன்,se'guna,sEguNa,sĕguṇa,s̪eguɳə,clue,அறிகுறி
꣄ ꢱꢹꢱꢥꣁ,सूचना॑,ஸூசனொ, soosano', sUsanO, sūsanŏ, s̪uːs̪ən̪o,clue,அறிகுறி
ꢮꢶꢔ꣄ꢛꢵꢥ꣄,विगञान्,விக்3ஞான்,vignjaan,vigJAn,vigñān,ʋɪgɲɑːn̪,science,அறிவியல் 
ꢮꢣ꣄ꢣꢶ,वद्दि,வத்3தி3,vaddi,vaddi,vaddi,ʋəd̪d̪ɪ,teacher,ஆசிரியர் 
ꢏꢣ꣄ꢣꢶ,आ॑द्दि,ஒத்3தி3,o'ddi,Oddi,ŏddi,od̪d̪ɪ,teacher,ஆசிரியர் 
ꢏꢬ꣄ꢱꢸꢦꢬꢶꢰꢾ,आ॑र्सुपरिक्षो,ஒர்ஸுபரிக்ஷொ,o'rsuparishe',OrsupariSE,ŏrsupariṣĕ,oɾs̪upəɾɪʂe,annual examination,ஆண்டுத் தேர்வு 
ꢮꢵꢬ꣄ꢯꢶꢒ ꢦꢬꢶꢒ꣄ꢰꣁ,वार्षिक परिक्षो,வார்ஷிக பரிக்ஷொ,vaarshika pariksho',vArzika parikSO,vārśika parikṣŏ,ʋɑːɾʃɪkə pəɾɪkʂo,annual examination,ஆண்டுத் தேர்வு 
ꢏꢬ꣄ꢱꢸꢮꣀꢩꢮ꣄,आ॑र्सुवैभव्,ஒர்ஸுவைப4வ்,o'rsuvaibhav,Orsuvaibhav,ŏrsuvaibhav,oɾs̪uʋəɪbʰəʋ,annual function,ஆண்டு விழா 
ꢱꢪ꣄ꢱꣂꢤꢥꣁ,सम्सोधना॑,ஸம்ஸோத4னொ,samsodhano',samsodhanO,samsodhanŏ,s̪əms̪oːd̪ʰən̪o,research,ஆய்வு 
