alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
எத்னம்,etnam,பாத்திரம்,"Utensil, Cooking Vessel",,,,
யெனம்,yenam,பாத்திரம்,"Utensil, Cooking Vessel",,,,
தெ3ஸெ,dese,பானை,Pot,,,,
பொ4ன்னொ,bhonno,பெரிய பானை,Big Pot,,,,
கெக3ர்,kegar,பானை நுனி,Rim of Pot,,,,
கொ2வ்டி3,khovDi,சட்டி,"Cooking Utensil, Bowel",,,,
தொ2வ்ளொ,thovLo,சோற்றுச் சட்டி,Eating Bowel,,,,
பிங்க3ணி,pinggaNi,கிண்ணம்,Bowl,,,,
கை3டி3,gaiDi,கலயம்,Small Pot,,,,
க3கி3டி,gagiTi,கலயம்,Small pot,,,,
தேலு க3கி3டி3,tElu gagiDi,எண்ணை கலயம்,Small oil pot,,,,
ஸிர்க்கணு கு2ம்பொ3,sirkkaNu khumbo,சந்தனக் கிண்ணம்,Sandalwood paste bowl,,,,
பெய்ஸுதொவ்லி,peysutovli,வடிகஞ்சி சட்டி,Starch water vessel,,,,
பேஸு கொ2வ்டி3,pEsu khovDi,வடிகஞ்சி சட்டி,Starch water vessel,,,,
நவ்னொ,navno,குடம்,Water Pot,,,,
கொடு3ம்,koDum,குடம்,Water Pot,,,,
ஹண்டொ3,haNTeaa,அண்டா,Handa,,,,
பனி ஹண்டொ3,pani haNDo,தண்ணீர் அண்டா,Water storing handa,,,,
கானு ஹண்டொ3,kaanu haNDo,காது அண்டா,Water handa with ring,,,,
ஹண்டி3,haNDi,வாணலி,Frying Pan,,,,
பொ2ன்னி ஹண்டி3,phonni haNDi,தாளிப்பு வாணலி,Seasoning Pan,,,,
த2ம்மாண்டி3,thammaaNDi,வனசட்டி,Bowl,,,,
தா3லு ஹண்டி3,daalu haNDi,பருப்பு கடையும் மண் சட்டி,Clay pot,,,,
தி4டா3 ஹண்டி3,dhiDaa haNDi,தோசைக்கல்,Griddle,,,,
ஹுர்பி,hurpi,தோசைதிருப்பி,Spatula,,,,
தி4டா3 ஹாத்,dhiDaa haat,தோசைதிருப்பி,Spatula,,,,
கு2ர்பி,khurpi,இரும்புக் கரண்டி,Iron Spatula,,,,
ப2லாரு ஹண்டொ3,phalaaru haNDo,இட்லி குண்டான்,Idli Cooker,,,,
ஹவ்கொ,havko,கரண்டி,Ladle,,,,
புட்டலு ஹவ்கொ,puTTalu havko,ஜல்லி கரண்டி,Sieve Ladle,,,,
ஜார்னி,jaarni,ஜல்லி கரண்டி,Sieve Ladle,,,,
பொளி,poLi,தேக்கரண்டி,Spoon,,,,
பொலொ,polo,பெரிய கரண்டி,Scoop,,,,
பொ2ளொ,phoLo,தாளிப்பு கரண்டி,Fry Laddle,,,,
பலெர்,paler,பாலாடை சங்கு,Baby feeding spoon,,,,
போ3னி,bOni,"குவளை, கோப்பை","Tumbler, Cup",,,,
பெலொ,pelo,"குவளை, கோப்பை","Tumbler, Cup",,,,
ஊகு3,uugu,தட்டு,Plate,,,,
த2ளொ,thaLo,தட்டு,Plate,,,,
கஸாத2ளொ,kasaathaLo,வெண்கல தட்டு,Bronze Plate,,,,
தெட்டொ,teTTo,தட்டு,Plate,,,,
பொங்க3லு தெட்டொ,ponggalu teTTo,பொங்கல் தட்டு,Pongal Plate,,,,
ஜை2னா தெட்டொ,jhainaa teTTo,பலகார தட்டு,"Halwa Plate, Side dish plate",,,,
ஜ2கி,jhaki,"மூடுதட்டு, மூடி","Cover plate, Lid",,,,
ஸராவ்,saraav,"மூடுதட்டு, மூடி","Cover plate, Lid",,,,
ஹர்வீ,harvee,"மூடுதட்டு, மூடி","Cover plate, Lid",,,,
புட்டலு தெட்டொ,puTTalu teTTo,வடி தட்டு,Colander,,,,
புட்டலு கொ2வ்டி3,puTTalu khovDi,வடி சட்டி,Colander,,,,
சால்னி,caalni,ஜல்லடை,Sieve,,,,
ஜெல்லட்,jellaT,ஜல்லடை,Sieve,,,,
பிடு3போ3னி,piDubOni,தூக்கு,Kitchenware,,,,
தம்பெ3,tambe,சொம்பு,Water Pitcher,,,,
ஸொண்டி தம்பெ3,soNTi tambe,கமண்டலம்,Water pot with spout,,,,
முங்ஹ்க்ராபெடி,munghkraapeTi,அஞ்சறை பெட்டி,Spice box,,,,
ஒட்சத்தெயொ,oTcatteyo,வடிகட்டி,"Filter, Strainer",,,,
பூ3ட்,booT,அடிப்பாகம்,Bottom,,,,
பு4ந்தொ,bhunto,"காந்தல், அடி பிடித்தல்","Burnt food, Burnt pan",,,,
விளி,viLi,அரிவாள்மனை,Traditional vegetable cutter,,,,
கொ4டா3 பொல்கொ,ghoDaa polko,மனைப்பலகை,Small Bench,,,,
சாத்,caat,வடைகம்பி,Culinary Rod,,,,
சாகு,caaku,கத்தி,Knife,,,,
க2ட்டிகா சாகு,khaTTikaa caaku,கசாப்புக் கத்தி,Butcher's knife,,,,
தா3ண்,daaN,கைப்பிடி,Handle,,,,
இட்கி,iTki,இடுக்கி,Kitchen Tong,,,,
