Unnamed: 0,21. Law and Order,ஸாஸனொ கினு ஆஜ்ஞொ,सासना॑ किनु आज्ना॑,ꢱꢵꢱꢥꣁ ꢒꢶꢥꢸ ꢃꢙ꣄ꢛꣁ
அடக்குமுறை  ,suppression,அண்சுவ க3தி,अण्चुव गति,ꢂꢠ꣄ꢗꢸ ꢮꢔꢡꢶ
அநியாயம்  ,injustice,அந்யாவ்/அக்ரமொ/அடா3த்,"अन्याव, अक्रमा॑, अडात","ꢂꢥ꣄ꢫꢵꢮ꣄, ꢂꢒ꣄ꢬꢪꣁ, ꢂꢞꢡ꣄"
அநீதி  ,injustice,அடா3த்/அந்யாவ்/ அநீதி3,"अडात, अन्याव, अनीदि","ꢂꢞꢵꢡ꣄, ꢂꢥ꣄ꢫꢵꢮ꣄, ꢃꢥꢷꢞꢶ"
அபராதம்  ,fine,அப்ராத்4,अपराध,ꢂꢦꢬꢵꢤ꣄
அமல்  ,"in force, implement",அமல் / பரிபாலனொ,"अमल्, परिपालना॑","ꢂꢪꢭ꣄, ꢦꢬꢶꢦꢵꢭꢥꣁ"
அமளி  ,pandemonium,ரெச்சகூத்/அராஜகதொ/கலஹொ,"र॑च्चकूत, अराजकता॑, कलहा॑","ꢬꢾꢗ꣄ꢗꢒꢹꢡ꣄, ꢂꢬꢵꢙꢒꢡꣁ, ꢂꢭꢲꣁ"
ஆணை/ உத்தரவு/கட்டளை,order,ஆஜ்ஞொ/உத்தர்,"आझञो, उत्तर","ꢃꢙ꣄ꢛꣁ, ꢆꢡ꣄ꢡꢬ꣄"
ஆணையர்  ,commissioner,ஆஜ்ஞாகார்,आजञाकार,ꢃꢙ꣄ꢛꢵꢒꢵꢬ꣄
ஆதாரம்  ,evidence,அதா4ர்/ருஜு,"अधार्, रुजु","ꢂꢤꢵꢬ꣄, ꢬꢸꢙꢸ"
ஆய்வாளர்  ,inspector,ஸோத4னொ கெர்னார்/ ஸோது4னார்,"सोधना॑ क॑र्नार, सोधुनार","ꢱꣂꢤꢥꣁ ꢒꢾꢬ꣄ꢥꢵꢬ꣄, ꢱꣁꢤꢸꢥꢵꢬ꣄"
ஆயுதப்படை  ,armed force,அய்து3பளொ/ஸேன,"अय्दुपळा॑, सेन","ꢂꢫ꣄ꢣꢸꢦꢳꣁ, ꢱꢾꢥ"
ஆயுள் தண்டனை ,life imprisonment,ஆயுஸ்தெ3ண்ட3னொ,आयुद॑ण्ड्ना॑,ꢃꢫꢸꢱ꣄ꢣꢾꢠ꣄ꢞꢥꣁ
ஆர்ப்பாட்டம்  ,uproar,ஆர்பா4டொ/ரெச்சாரெச்சொ,"अर्भाटा॑, र॑च्चा॑र॑च्चा॑","ꢃꢬ꣄ꢩꢵꢜꣁ, ꢬꢾꢗ꣄ꢗꢵ ꢬꢾꢗ꣄ꢗꣁ"
ஆவணம்  ,record,பத்ரொ/த3ஸ்தாவேஜ்,"पत्रा॑, दस्तावेज","ꢦꢡ꣄ꢬꣁ, ꢣꢱ꣄ꢡꢵꢮꢾꢙ꣄"
இந்தியக் குற்றவியல் சட்டம்    ,Indian Penal Code,பா4ரத த3ண்ட3னா ஸாஸனொ,भारत दण्डना सासना॑,ꢩꢵꢬꢡ ꢣꢠ꣄ꢞꢥꢵ ꢱꢵꢱꢥꣁ
இயக்கம்  ,movement,ஸங்க3ம்/ஸம்ஸ்தான்,"सङकम्, सम्स्तान्","ꢱꢖ꣄ꢒꢪ꣄, ꢱꢪ꣄ꢱ꣄ꢡꢵꢥ꣄"
இனப்படுகொலை  ,genocide,குலநாஸ்,कुलनास्,ꢒꢸꢭꢥꢵꢱ꣄
உச்சநீதிமன்றம்   ,Supreme Court,உச்ச ந்யாயாலயொ,उच्च न्यायालया॑,ꢆꢗ꣄ꢗ ꢥ꣄ꢫꢵꢫꢵꢭꢫꣁ
உண்ணாவிரதம்  ,hunger strike,உபவாஸ்,उपवास,ꢆꢦꢮꢵꢱ꣄
,,உத்தா,उत्तर्,ꢆꢡ꣄ꢡꢵ
உயர்நீதிமன்றம்   ,High Court,உஞ்சா ந்யாயாலயொ,उञ्चा न्यायालया॑,ꢆꢛ꣄ꢗꢵ ꢥ꣄ꢫꢵꢫꢵꢭꢫꣁ
உயில்  ,will,இச்சா பத்ரு,इच्चा पत्रु,ꢄꢗ꣄ꢗꢵ ꢦꢡ꣄ꢬꢸ
உரிமம்  ,licence,அனுமதி பி3ல்லொ / பா3த்3யதொ,"अनुमतिबिल्ला॑, बाद्यता॑","ꢂꢥꢸꢪꢡꢶꢨꢶꢭ꣄ꢭꣁ, ꢨꢵꢣ꣄ꢫꢡꣁ"
உரிமை  ,right,பா3த்3யதொ/அதி4கார்,"बाद्यता॑, अधिकार","ꢨꢵꢣ꣄ꢫꢡꣁ, ꢂꢤꢶꢒꢵꢬ꣄"
உளவாளி/ ஒற்றன்  ,spy,சாரணொ/கூ4டசாரி,"चारणा॑, घूटचारि","ꢗꢵꢬꢠꣁ, ꢕꢹꢜꢗꢵꢬꢶ"
கடமை  ,duty,கர்தவ்/கர்தவ்யொ,"कर्तव, कर्तव्या॑","ꢒꢬ꣄ꢡꢮ꣄, ꢒꢬ꣄ꢡꢮ꣄ꢫꣁ"
