Unnamed: 0,18. Household Articles,கே4ரு வஸ்துன்,घेरु वस्तुन,ꢕꢾꢬꢸ ꢮꢱ꣄ꢡꢸꢥ꣄
அடுப்பு  ,stove (oven),சுல்லொ,चुळ्ळा॑,ꢗꢸꢳ꣄ꢳꣁ
ஆப்பு  ,peg,தடொ,तटो,ꢡꢜꣁ
இடுக்கி  ,forceps,இட்கி/விட்கி,"इट्कि, विट्कि","ꢄꢜ꣄ꢒꢶ, ꢮꢶꢜ꣄ꢒꢶ"
இரும்புப் பெட்டி   ,iron self,லொ:க3ணுபெடி,ल्हा॑गणुप॑टि,ꢭꢴꣁꢔꢠꢸꢦꢾꢜꢶ
இழுப்பறை  ,drawer of a table,ஸுருக்3,सुरुग,ꢱꢸꢬꢸꢔ꣄
இஸ்திரிப்பெட்டி  ,iron box,கெ3ஸினிபெடி,ग॑सिनि प॑टि,ꢔꢾꢱꢶꢥ ꢶꢦꢾꢜꢶ
ஏணி  ,ladder,ஸடொ/ஸ்ரேணி,"सटा॑, स्रेणि","ꢱꢜꣁ, ꢱ꣄ꢬꢿꢠꢶ"
ஓவியம்  ,painting,சித்ரு/சித்துர்,"चित्रु, चित्तुर","ꢗꢶꢡ꣄ꢬꢸ, ꢗꢶꢡ꣄ꢡꢸꢬ꣄"
கட்டில்  ,cot,மஞ்சு/மொஞ்சொ,"मञ्चु, मा॑ञ्चा॑","ꢪꢛ꣄ꢗꢸ, ꢪꣁꢛ꣄ꢗꣁ"
கடிகாரம்  ,wrist watch,கெ4டி3க3ளொ,घ॑टिगळा॑,ꢕꢾꢜꢶꢔꢳꣁ
கண்ணாடி  ,mirror,த3வ்ணொ/அத்3த3ம்,"दव्णा॑, अद्दम","ꢣꢮ꣄ꢠꣁ, ꢂꢣ꣄ꢣꢪ꣄"
கத்தி  ,knife,சு2ரி,छुरि,ꢘꢸꢬꢶ
கத்திரி  / கத்திரிக்கோல்,scissors,கெத்திரிகெ,क॑त्तिरिक॑,ꢒꢾꢡ꣄ꢡꢶꢬꢶꢒꢾ
கம்பளிப் போர்வை   ,wollen blanket,கம்ப்3ளொ/ ப2ங்கு3ரொ/ஊர்ணு ப2ங்கு3ரொ,"कम्ब्ळा॑, फङ्गुरा॑, ऊरणु फङ्गुरा॑","ꢒꢪ꣄ꢨ꣄ꢭꣁ, ꢧꢖ꣄ꢔꢸꢬꣁ, ꢇꢬ꣄ꢠꢸꢧꢖ꣄ꢔꢸꢬꣁ"
கம்பு  ,stick,க2ட்டி,खट्टि,ꢓꢜ꣄ꢜꢶ
கால்மிதி  ,doormat,பாஇ~பொஸுனாவ்,पाइ~ पा॑सुनाव,ꢦꢵꢄ~ ꢦꣁꢱꢸꢥꢵꢮ꣄
காலணி  ,footwear,பௌஸுல்,पौसुल्,ꢦꣃꢱꢸꢭ꣄
குங்குமச் சிமிழ்   ,kumkum box,குங்கு3மு பொ4ரணி,गुङ्गुमु भा॑रणि,ꢔꢸꢖ꣄ꢔꢸꢪꢸ ꢩꣁꢬꢠꢶ
குடை  ,umbrella,ஸதி3/ச2 த்ரி,"सदि, छत्रि","ꢱꢣꢶ, ꢘꢡ꣄ꢬꢶ"
குதிர்  ,vessel for storing grains,கெ3ல்லொ,ग॑ल्ला॑,ꢔꢾꢭ꣄ꢭꣁ
குப்பி  ,bottle,கு3த்தி,गुत्ति,ꢔꢸꢡ꣄ꢡꢶ
குப்பை  ,trash,குப்பொ/ஹீடு3வஸ்துன்,"कुप्पा॑, हीडुवस्तुन","ꢔꢸꢦ꣄ꢦꣁ, ꢲꢷꢞꢸꢮꢱ꣄ꢡꢸꢥ꣄"
குலுக்கை,Earthen vessel for storing grains,கெல்லொ,ग॑ल्ला॑,ꢔꢾꢭ꣄ꢭꣁ
குழல்  ,pipe,கோவி / பு2ன்னளி,"कोवि, फुन्नळि                       ","ꢒꣂꢮꢶ, ꢧꢸꢥ꣄ꢥꢳꢶ"
குழாய்  ,tap,கொளாய்/நளி,"का॑ळाय, नळि","ꢒꣁꢳꢵꢫ꣄, ꢥꢳꢶ"
கைப்பை  ,handbag,ஹாதுகொ2ள்டி,हातु खा॑ळ्टि,ꢲꢵꢡꢸ ꢓꣁꢳ꣄ꢜꢶ
கொசுவலை  ,mosquito net,பிஸுளா ஒலொ,पिचुळा आ॑लो,ꢦꢶꢱꢸꢳꢵ ꢏꢭꣁ
சந்தனம்  ,sandal (wood),ஸிர்கண்/ஸ்ரீக3ந்து4,"सिर्कण, श्रीगन्धु","ꢱꢶꢬ꣄ꢒꢠ꣄, ꢯ꣄꣄ꢬꢷꢔꢥ꣄ꢤꢸ"
சமுக்காளம்  ,carpet,ஜெங்க3ளம்,ज॑ङ्गळम,ꢙꢾꢖ꣄ꢔꢳꢪ꣄
சாம்பல்  ,ash,ராக்,राक्,ꢬꢵꢒ꣄
சாமான்கள்/பொருட்கள்,things,வஸ்துன் / ஜமானுன்,"वस्तुन, जमानुन","ꢮꢱ꣄ꢡꢸꢥ꣄꣄, ꢙꢪꢵꢥꢸꢥ꣄"
சாவி  ,key,பி3கா3த்,बिगात,ꢨꢶꢔꢵꢡ꣄
சீப்பு  ,comb,பொ2ன்னி,फोन्नि,ꢧꣁꢥ꣄ꢥꢶ
சுவர்க் கடிகாரம்    ,wall clock,பீ4துகெ4டி3க3ளொ,भीतु घेडिगळा॑,ꢩꢷꢡꢸ ꢕꢾꢞꢶꢔꢳꣁ
தட்டி  ,bamboo screen,பொ3ங்கு3 தட்டி,बा॑ङ्गु तट्टि,ꢨꣁꢖ꣄ꢔꢸ ꢡꢜ꣄ꢜꢶ
தடி  ,stick,லைடொ3/ லகு3டொ3,"लैडा॑, लगुडा॑","ꢭꣀꢞꣁ, ꢭꢔꢸꢞꣁ"
தடிக்கம்பு  ,big stick,ப3ணால் லகு3டொ3,बणाल्लगुडा॑,ꢨꢠꢵꢭ꣄ ꢭꢔꢸꢞꣁ
தரைவிரிப்பு  ,carpet,ஹத்ரன்,हत्रन,ꢲꢡ꣄ꢬꢥ꣄
தலையணை  ,pillow,தெல்கட்/ஹும்ரொ/தி3ண்டு3/மொள்டி,"तेल्कट, हुम्रा॑, दिण्डु, मा॑ल्टि","ꢡꢾꢭ꣄ꢒꢜ꣄, ꢲꢸꢪ꣄ꢬꣁ, ꢣꢶꢠ꣄ꢞꢸ, ꢪꣁꢭ꣄ꢜꢶ"
திரி  ,wick,வாத்,वात,ꢮꢵꢡ꣄
தீபம்  ,lamp,தி3வொ,दिवा॑,ꢣꢶꢮꣁ
தொங்குவிளக்கு  ,hanging lamp,லொம்ப3ன் தி3வொ,ला॑म्बन्दिवा॑,ꢭꣁꢪ꣄ꢨꢥ꣄ ꢣꢶꢮꣁ
தூளி/ தொட்டில்  ,cradle,பல்லொ/ பள்ளொ,"पल्ला॑, पळ्ळा॑","ꢦꢭ꣄ꢭꣁ, ꢦꢳ꣄ꢳꣁ"
தேய்ப்புப் பெட்டி,Iron box,கெசினி பெடி,केसिनि प॑टि,ꢒꢾꢱꢶꢥꢶ ꢦꢾꢜꢶ
தொட்டி  ,tank,நிவி/தொட்டி,"निवि, तोट्टि","ꢥꢶꢮꢶ, ꢡꣁꢜ꣄ꢜꢶ"
தொலைக்காட்சிப் பெட்டி   ,television,ரூப த3ர்ஷினி,रूप दर्शिनि,ꢬꢹꢦꢣꢬ꣄ꢯꢶꢥꢶ
தொலைபேசி  ,telephone,தூ3ர் வதி3னி,दूर्वदिनि,ꢣꢹꢬ꣄ ꢮꢣꢶꢥꢶ
தோல் பை   ,leather bag,கெஷண் கொ2ள்டி,क॑षण खा॑ळ्टि,ꢒꢾꢰꢠ꣄ ꢓꣁꢳ꣄꣄ꢜꢶ
தோள் பை   ,shoulder bag,கா2ந்து3கொ2ள்டி, खा॑ळ्टि,ꢓꢵꢥꢣꢸ ꢓꣁꢳ꣄꣄꣄ꢜꢶ
நாள்காட்டி  ,calender,தி3ன்னுதெ3க்கட்னி/தி3னசர்யொ,"दिन्नु द॑क्कट्नि, दिनचर्या॑","ꢣꢶꢥ꣄ꢥꢸ ꢣꢾꢒ꣄ꢒꢜ꣄ꢥꢶ, ꢣꢶꢥꢗꢬ꣄ꢫꣁ"
நாற்காலி  ,chair,சார்பாஇ~திவி/குர்ஸி,"चार्पाइ~ तिवि, कुर्सि","ꢗꢵꢬ꣄ꢦꢵꢄ~ ꢡꢶꢮꢶ, ꢒꢸꢬ꣄ꢱꢶ"
பசை  ,gum,கோ3ந்து/தி3ட்3டு3/ வஜ்ஜிர்,"कोन्तु, दिड्डु, वज्जिर","ꢒꣂꢥ꣄ꢡꢸ, ꢣꢶꢞ꣄ꢞꢸ, ꢮꢭ꣄ꢭꢶꢬ꣄"
படம்  ,picture,சித்துர்/லோஸ்,"चित्तुर, लोस","ꢗꢶꢡ꣄ꢡꢸꢬ꣄, ꢭꣂꢱ꣄"
படுக்கை  ,bed,ஸயனி,सयनि,ꢱꢫꢥꢶ
படுக்கை விரிப்பு   ,bed sheet,ஸயனு ஹத்ரன்,सयनु हत्रन,ꢱꢫꢥꢸ ꢲꢡ꣄ꢬꢥ꣄
பத்தாயம்,Wooden vessel for storing grains,குதுர்,कुतुर्,ꢒꢸꢡꢸꢬ꣄
பல்விளக்கி  ,tooth brush,தா3து பு3ருஸ்/    தா3து மஞ்ஜன் /   தா3து கெ3ஸினி,"दातुबुरुस, दातुमञ्जन,    दातु ग॑सिनि","ꢣꢵꢡꢸ ꢨꢸꢬꢸꢱ꣄, ꢣꢵꢡꢸ ꢪꢛ꣄ꢙꢥ꣄, ꢞꢵꢡꢸ ꢔꢾꢱꢶꢥꢶ"
பற்பசை  ,tooth paste,தா3து லேஹி,दातुलेहि,ꢣꢵꢡꢸꢭꢿꢲꢶ
பற்பொடி  ,tooth powder,தா3து பு4ர்கொ,दातु भुर्का॑,ꢣꢵꢡꢸ ꢩꢸꢬ꣄ꢒꣁ
பாத்திரம்  ,vessels,எது3னம்/பாத்ரொ,"ए॑दुनम, पात्रा॑","ꢌꢣꢸꢥꢪ꣄, ꢦꢵꢡ꣄ꢬꣁ"
பாய்,mat,சபொ,चपा॑,ꢗꢦꣂ
கடப்பாறை,crow bar,கெ3ட்பாரொ/ க2னாவ்,"ग॑ट्पारा॑,   खनाव","ꢔꢾꢜ꣄ꢦꢵꢬꣁ, ꢓꢥꢵꢮ꣄"
புகைப்படம்  ,photo,தூ4ம் லோஸ் / நீடா3லோஸ் / பா4வசித்துர்,"धूम्लोस, नीडा लोस, भावचित्तुर","ꢤꢹꢪ꣄ ꢭꣂꢱ꣄, ꢥꢷꢞꢵ ꢭꣂꢱ꣄, ꢩꢵꢮ ꢗꢶꢡ꣄ꢡꢸꢬ꣄"
புனல்  ,funnel,நாளொ,नाळा॑,ꢥꢵꢳꣁ
