Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢕꢾꢬꢸꢮ꣄ꢒꢥꢶ,घ॑रुव्कनि,கெ4ருவ்கனி,ghe'ruvkani,ghEruvkani,ghĕruvkani,gʰeɾuʋkən̪ɪ,proudly,அகங்காரமாக  
ꢮꢶꢭꢵꢱ꣄ꢒꢥꢶ,विलास्कनि,விலாஸ்கனி,vilaaskani,vilAskani,vilāskani,ʋɪlɑːs̪kən̪ɪ,broadly,அகலமாக  
ꢂꢭꢱꣁꢒꢥꢶ,अलसा॑कनि,அலஸொகனி,alaso'kani,alasOkani,alasŏkani,ələs̪okən̪ɪ,slackly,அசட்டையாக  
ꢮꢶꢒꢵꢬ꣄ꢒꢥꢶ,विकार्कनि,விகார்கனி,vikaarkani,vikArkani,vikārkani,ʋɪkɑːɾkən̪ɪ,ugly,அசிங்கமாக  
ꢂꢜꢵꢠ꣄ꢒꢒꢥ꣄,अटाण्ककन्,அடஅண்ககன்,at'aankakan,aTANkakan,aṭāṇkakan,əʈɑːɳkəkən̪,obediently,அடக்க ஒடுக்கமாக   
ꢩꢮ꣄ꢫꢖ꣄ꢒꢥ꣄,भव्यङ्कन्,ப4வ்யங்கன்,bhavyankan,bhavyaGkan,bhavyaṅkan,bʰəʋjəŋkən̪,obediently,அடக்கமாக  
ꢧꢶꢬꢶꢧꢶꢬꢶ,फिरिफिरि,பி2ரிபி2ரி,phiriphiri,phiriphiri,phiriphiri,pʰɪɾɪpʰɪɾɪ,"frequently, often",அடிக்கடி  
ꢡꢾꢬ꣄ꢱꢸ,त॑र्सु,தெர்ஸு,te'rsu,tErsu,tĕrsu,t̪eɾs̪u,"frequently, often",அடிக்கடி  
ꢭꢾꢔꢸꢡꣁ,ल॑गुता॑,லெகு3தொ,le'guto',lEgutO,lĕgutŏ,legut̪o,next,அடுத்ததாக  
ꢧꢬꢡꢸ,फरतु,ப2ராது,pharatu,pharatu,pharatu,pʰəɾət̪u,next,அடுத்ததாக  
ꢧꢬꣁ ꢧꢳ꣄ꢗꣁ,फरा॑,ப2ரொ,pharo' phal'cho',pharO phaLcO,pharŏ phal̤cŏ,pʰəɾo pʰəɭt͡ʃo,next,அடுத்ததாக  
ꢲꣁꢭ꣄ꢭꣁ,फळ्चा॑,ப2ள்சொ,ho'llo',hOllO,hŏllŏ,ɦollo,next,அடுத்ததாக  
ꢲꣁꢭ꣄ꢭꣁ,हा॑ल्ला॑,ஹொல்லொ,ho'llo',hOllO,hŏllŏ,ɦollo,next,அடுத்ததாக  
ꢧꢭ꣄ꢗꣁ,फल्चा॑,ப2ல்சொ,phalcho',phalcO,phalcŏ,pʰəlt͡ʃo,next,அடுத்து  
