alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
ஹந்த3வ்,handav,சமையல்,Cooking,,,,
ஹந்த3பு காம்,handapu kaam,சமையல் வேலை,Cooking work,,,,
சுல்லொ,cullo,அடுப்பு,"Stove, Oven",,,,
லைடா3 சுல்லொ,laiDaa cullo,விறகடுப்பு,Wood Stove,,,,
கொ2ள்ச்யா சுல்லொ,khoLcyaa cullo,கரி அடுப்பு,"Charcoal oven, Coke oven",,,,
கொட்பை சுல்லொ,koTpai cullo,கொடி அடுப்பு,Mud oven which receives heat indirectly,,,,
பௌ4னெஸ்,bhaunes,"கரி, விறகு & கொடி அடுப்புகள் ஒன்றாக இருக்கும் அடுப்பு மேடை",Stove platform with coal and wood oven,,,,
தி3க3ரம் சுல்லொ,digaram cullo,மண்ணெண்னை அடுப்பு,Kerosene Stove,,,,
வரா சுல்லொ,varaa cullo,காற்று அடுப்பு,Pump Stove,,,,
வாயு சுல்லொ,vaayu cullo,எரிவாயு அடுப்பு,Gas Stove,,,,
விஜிலி சுல்லொ,vijili cullo,மின்சார அடுப்பு,Electric Stove,,,,
துக்கிஸொட3ன் சுல்லொ,tukkisoDan cullo,தூண்டல் அடுப்பு,Induction Stove,,,,
ஸெனி,seni,வரட்டி,"Dry Cow dung, Argol",,,,
ராக்,raak,சாம்பல்,Ash,,,,
ப3ஸ்மொ,basmo,சாம்பல்,Ash,,,,
கொ2ள்செ,khoLce,கரி,"Charcoal, Coke",,,,
தி3க3ரம்,digaram,மண்ணெண்னை,Kerosene,,,,
லைடொ3,laiDo,விறகு,Firewood,,,,
லகு3டொ3,laguDo,விறகு,Firewood,,,,
லகு3டா3ப4ரொ,laguDaabharo,விறகு கட்டு,Wood bundle,,,,
செகு3லொ,cegulo,விறகு சிராய்,Chopped Firewood,,,,
ஸெகி3டி3,segiDi,"அக்கினி, நெருப்பு",Fire,,,,
அல்தொ,alto,"அக்கினி, நெருப்பு",Fire,,,,
குள்டொ,kuLTo,"கங்கு, தணல்","Burning Coke, Ember",,,,
விஸ்தெவ்,vistev,"கங்கு, தணல்","Burning Coke, Ember",,,,
விங்க3ள்,vinggaL,"கங்கு, தணல்","Burning Coke, Ember",,,,
பேட் லவத்தெ,pET lavatte,அடுப்பு பற்றவைத்தல்,Igniting Stove,,,,
பு2ணலி,phuNali,"ஊதுகுழல், ஊதாமனை",Blower,,,,
தூ4ம்,dhoom,புகை,"Smoke, Fume",,,,
கொ4ம்பு3ளொ,ghombuLo,இளஞ்சூடு,Warm,,,,
ஹத3ன்,hadan,"வடிகஞ்சியும், அரிசி கழுவிய நீரும் கலந்த புளித்த தண்ணீர்",Fermented water prepared with starch and rice washed water,,,,
ஹத3ன் தொ2வத்தெ,hadan thovatte,அரிசி சமைக்க தண்ணீரை கொதிக்க வைத்தல்,Boiling the water to cook rice,,,,
கே2ட்,khET,சமைத்த அரிசியின் சூடான கொதிநிலை,Hot boiling point of cooked rice,,,,
கெ2டி3னி,kheDini,கொதிநிலை,Boiling point,,,,
தப்பினி,tappini,கொதித்தல்,Boiling,,,,
வாப்,vaap,ஆவி,"Vapour, Steam",,,,
தவ்னி,tavni,உருகுதல்,Melting,,,,
தவை ஜாய்,tavai jaay,உருகி விடும்,Melt away,,,,
சுண்ட3ணி,cuNDaNi,சுடுதல்,Boiling hot,,,,
ஜெலஜெலனி,jelajelani,தகதகவென கொதித்தல்,Bubbling hot,,,,
ஹுப்3பி3னி,hubbini,பொங்குதல்,"Boiling, Overflowing, Effervescence",,,,
நிவ்னொ,nivno,பிரிமனை,Coir Rope Trivet,,,,
புட்3கி,puDki,கூடை,Palm leaf Basket,,,,
"ஹொகள், ஹொக3ள்","hokaL, hogaL",உரல்,"Mortar, Grinding Stone",,,,
து4ம்டாஹொகளு,dhumTaahokaLu,மர உரல்,Wooden mortar,,,,
சகி ஹொகள்,caki hokaL,இயந்திர உரல்,Grinder,,,,
ஒர்கு3லோ,orgulO,ஆட்டுக்கல்,Pounder,,,,
லுப்3லொ,lublo,ஆட்டுக்கல்,Pounder,,,,
லுப்3பு3ர்கய்லொ,lubburkaylo,ஆட்டுக்கல்,Pounder,,,,
ர்ஹெகு3டொ3,rheguDo,அரைக்கல்,Hand Mill,,,,
படொ,paTo,அம்மி,Metate,,,,
தெ3கு3டா3படொ,deguDaapaTo,கல் அம்மி,Metate,,,,
சகி படொ,caki paTo,இயந்திர அம்மி,Mixie,,,,
படா தெ3ய்டொ3,paTaa deyDo,அம்மிக் குழவி,Metate's pestle,,,,
முஸல்,musal,உலக்கை,Pestle,,,,
ஸொலொ,solo,உழக்கு,Measuring Cup,,,,
அட்3டொ3,aDDo,படி (அளவு),Full Measure,,,,
ஸுடொ3,suDo,முறம்,Winnowing basket,,,,
ஸுப்3டொ3,subDo,முறம்,Winnowing basket,,,,
ஸுலொ,sulo,சுடு சாதத்தை ஆற வைக்கும் வட்ட வடிவ முறம்,Winnowing basket,,,,
மொத்து,mottu,பருப்பு கடையும் மத்து,Dal Churner,,,,
கு3ஸிளி,gusiLi,தயிர் கடையும் மத்து,Curd Churner,,,,
சீஸ் அம்ப3ட்,cees ambaT,புளிக்காய்ச்சல்,Tamarind Rice Mix,,,,
சீஸு பொள்டொ,ceesu poLTo,புளிச்சக்கை,Squeezed Tamarind,,,,
நல்லி,nalli,குழாய்,Tap,,,,
ஜ2ன்னி,jhanni,"விளக்குமாறு, துடைப்பம்","Broomstick, Besom",,,,
பூலு ஜ2ன்னி,poolu jhanni,பூந்துடப்பம்,Grass Broom,,,,
நலரு ஜ2ன்னி,nalaru jhanni,தென்னந்துடப்பம்,Coconut Palm Broom,,,,
ஜ2ன்னி க2ட்டி,jhanni khaTTi,ஈர்க்குச்சி,"Broom stick, Rib of a palm leaf",,,,
ஸெக்கலு க2ட்டி,sekkalu khaTTi,கோரைப்புல் குச்சி,Dry can stick,,,,
குப்பொ,kuppo,குப்பை,"Garbage, Trash, Waste, Junk",,,,
ட3ப்3பொ3,Dabbo,தொட்டி,Bin,,,,
"சிகு3ட்டொ, சிவுட்டொ","ciguTTo, civuTTo","பிசுபிசுப்பு, ஒட்டுதல்","Viscous, Sticky",,,,
முறி பொ3ட்டொ,muri boTTo,அழுக்குத்துணி,Kitchen Towel,,,,
மொஸுரா பொ3ட்டொ,mosuraa boTTo,கைப்பிடித்துணி,Kitchen Towel,,,,
