ꢙꢾꢡꣁ,ज॑ता॑,ஜெதொ,"group, team",அணி  
ꢔꢸꢪ꣄ꢦꢸ,गुम्पु,கு3ம்பு,"group, team",அணி  
ꢓꢵꢳ꣄,खाळ,கா2ள்,"play, game",ஆட்டம்  
ꢓꢾꢳ꣄,खेळ,கே2ள்,"play, game",ஆட்டம்  
ꢨꢾꢠ꣄ꢜꢸ ꢮꢵꢕ꣄ ꢓꢭ꣄ꢥꢶ,ब॑ण्टु वाघ् खळ्नि,பெ4ண்டு வாக்4 க2ள்னி,goat and tiger game,ஆடுபுலி ஆட்டம்   
ꢩꢭ ꢮꢶꢱꢶꢬ꣄ꢥꢶ,भल विसिर्नि,ப4ல விஸிர்னி,javelin throw,ஈட்டி எறிதல்   
ꢣꢿꢲꢵꢦ꣄ꢧꢶꢫꢵꢱ꣄,देहाभ्यास्,தே3ஹாப்4யாஸ்,exercise,உடற்பயிற்சி  
ꢇꢛ꣄ꢗꢭꢶ,ऊञ्चलि,ஊஞ்சலி,swing,ஊஞ்சல்  
ꢲꢷꢥ꣄ꢡꢳꣁ,हिन्तळा॑,ஹிந்த3ளொ,swing,ஊஞ்சல்  
ꢦ꣄ꢬꢡꢶꢮꢵꢥ꣄,प्रतिवान्,ப்ரதிவான்,opponent,எதிராளி  
ꢤꢪ꣄ꢥꢶꢓꢾꢭ꣄,धम्निखेल्,த4ம்னிகே2ள்,running race,ஓட்டப்பந்தயம்  
ꢤꢪ꣄ꢤꢾꢬꢥ꣄ ꢓꢵꢳ꣄꣄,धाम्ध॑रन्खाळ,தா4ம்தெ4ரன்கா2ள்,I spy game,ஓடிப்பிடித்தாடுதல் 
ꢡꢾꢬꢡ꣄ꢡꢾꢓꢵꢳ꣄,तेरत्तेखाल्,தெரத்தெகா2ள்,I spy game,ஓடிப்பிடித்தாடுதல் 
ꢒꢜ꣄ꢗꢶ,कट्चि,கட்சி,"party, side",கட்சி  
ꢒꢦꢞꢶ,कपडि,கபடி3,kabadi,கபடி  
ꢦꢵꢄ~ ꢔꣁꢳꣁ,पाइ~गा॑ळा॑,பாஇ~கொ3ளொ,football,கால்பந்து  
ꢒꢶꢜ꣄ꢜꢶꢦꢸꢳ꣄꣄,किट्टिपुळ,கிட்டிபுள்,a native game with one small and another long stick,கிட்டிப்புள்  
ꢓꢜ꣄ꢜꢶ ꢓꢵꢳ꣄,खट्टिखाळ,க2ட்டி கா2ள்,a native game with one small and another long stick,கிட்டிப்புள்  
ꢦꢵꢠ꣄ꢞꢶ ꢓꢵꢳ꣄,पाण्डि खाल्,பாண்டி கா2ள்,A native group game,கிளித்தட்டு
ꢬꢮꢵꢒ꣄ ꢓꢵꢳ꣄꣄,रवा खाळ,ரவாகா2ள்,a play with marbles,குண்டாட்டம்  
