அணி  ,"group, team",ஜெதொ/கு3ம்பு,"ज॑ता॑ , गुम्पु","ꢙꢾꢡꣁ, ꢔꢸꢪ꣄ꢦꢸ"
ஆட்டம்  ,"play, game",கா2ள்/கே2ள்,"खाळ, खेळ","ꢓꢵꢳ꣄, ꢓꢾꢳ꣄"
ஆடுபுலி ஆட்டம்   ,goat and tiger game,பெ4ண்டு வாக்4 க2ள்னி,ब॑ण्टु वाघ् खळ्नि,ꢨꢾꢠ꣄ꢜꢸ ꢮꢵꢕ꣄ ꢓꢭ꣄ꢥꢶ
ஈட்டி எறிதல்   ,javelin throw,ப4ல விஸிர்னி,भल विसिर्नि,ꢩꢭ ꢮꢶꢱꢶꢬ꣄ꢥꢶ
உடற்பயிற்சி  ,exercise,தே3ஹாப்4யாஸ்,देहाभ्यास्,ꢣꢿꢲꢵꢦ꣄ꢧꢶꢫꢵꢱ꣄
ஊஞ்சல்  ,swing,ஊஞ்சலி/ஹிந்த3ளொ,"ऊञ्चलि, हिन्तळा॑","ꢇꢛ꣄ꢗꢭꢶ, ꢲꢷꢥ꣄ꢡꢳꣁ"
எதிராளி  ,opponent,ப்ரதிவான்,प्रतिवान्,ꢦ꣄ꢬꢡꢶꢮꢵꢥ꣄
ஓட்டப்பந்தயம்  ,running race,த4ம்னிகே2ள்,धम्निखेल्,ꢤꢪ꣄ꢥꢶꢓꢾꢭ꣄
ஓடிப்பிடித்தாடுதல் ,I spy game,தா4ம்தெ4ரன்கா2ள்/தெரத்தெகா2ள்,"धाम्ध॑रन्खाळ, तेरत्तेखाल्","ꢤꢪ꣄ꢤꢾꢬꢥ꣄ ꢓꢵꢳ꣄꣄, ꢡꢾꢬꢡ꣄ꢡꢾꢓꢵꢳ꣄"
கட்சி  ,"party, side",கட்சி,कट्चि,ꢒꢜ꣄ꢗꢶ
கபடி  ,kabadi,கபடி3,कपडि,ꢒꢦꢞꢶ
கால்பந்து  ,football,பாஇ~கொ3ளொ,पाइ~गा॑ळा॑,ꢦꢵꢄ~ ꢔꣁꢳꣁ
கிட்டிப்புள்  ,a native game with one small and another long stick,கிட்டிபுள்/க2ட்டி கா2ள்,"किट्टिपुळ, खट्टिखाळ","ꢒꢶꢜ꣄ꢜꢶꢦꢸꢳ꣄꣄, ꢓꢜ꣄ꢜꢶ ꢓꢵꢳ꣄"
கிளித்தட்டு,A native group game,பாண்டி கா2ள்,पाण्डि खाल्,ꢦꢵꢠ꣄ꢞꢶ ꢓꢵꢳ꣄
குண்டாட்டம்  ,a play with marbles,ரவாகா2ள்,रवा खाळ,ꢬꢮꢵꢒ꣄ ꢓꢵꢳ꣄꣄
கீரை,green leaf,ப4ஜ்ஜி,भज्जि,ꢩꢙ꣄ꢙꢶ
அவித்தகீரை,Boiled green,பொ2ள்டெ ப4ஜ்ஜி,पा॑ळ्ट॑ भज्जि,ꢧꣁꢳ꣄꣄ꢜꢾ ꢩꢙ꣄ꢙꢶ
கடலை,Ground nut,கட3லெ,कडल॑,ꢒꢞꢭꢾ
அவித்தகடலை,Boiled ground,ஸிவ்ஜெகட3லெ,सिव्ज॑कडल॑,ꢱꢶꢮ꣄ꢙꢾ ꢒꢞꢭꢾ
குண்டு எறிதல்   ,shot put,கொ3ளபா4ர்விஸிர்னி/கு3ண்டு3 விஸிர்னி,"गा॑ळ भार्विसिर्नि, गुण्डु विसिर्नि","ꢔꣁꢳ ꢩꢵꢬ꣄ ꢮꢶꢱꢶꢬ꣄ꢥꢶ, ꢔꢸꢠ꣄ꢜꢸ ꢮꢶꢱꢶꢬ꣄ꢥꢶ"
குத்துச் சண்டை   ,boxing,கு3த்3தி3னி ஜெ2டொ3/ கு3த்3தா3 ஜெ2டொ3,"गुद्दिनि झ॑डा॑, गुद्दा झ॑डा॑","ꢔꢸꢣ꣄ꢣꢶꢥꢶ ꢚꢾꢞꣁ, ꢔꢸꢣ꣄ꢣꢵ ꢚꢾꢞꣁ"
குஸ்தி  ,wrestling,கு3ஸ்தி,कुस्ति,ꢒꢸꢱ꣄ꢡꢶ
கோப்பை  ,cup,கப்பு,कप्पु,ꢒꢦ꣄ꢦꢸ
கோலி  ,marble,ப3ளிங்கி3,बळिङगि,ꢨꢳꢶꢖ꣄ꢔꢶ
சடுகுடு  ,kabadi,கப3டி3,कबडि,ꢒꢨꢞꢶ
சதுரங்கம்  ,chess,சது3ரங்க3ம்,चदुरङकम्,ꢗꢣꢸꢬꢖ꣄ꢒꢪ꣄
சீட்டாட்டம்  ,playing cards,சீடு3கா2ள்,चीडुखाळ,ꢗꢷꢞꢸꢓꢵꢳ꣄
சீட்டு  ,cards,சீட்,चीट्,ꢗꢷꢜ꣄
சுடுதல் போட்டி   ,shooting competition,லவ்னி ஸ்பர்த4ன்,लव्निस्पर्धन्,ꢭꢮ꣄ꢥꢶꢱ꣄ ꢦꢬ꣄ꢤꢥ꣄
சுற்று  ,round,கொ3ளி,गा॑ळी,ꢔꣁꢳꢶ
தாயம்  ,a native play like chess,கொவ்டா3 கா2ள்,कोव्टाखाळ,ꢒꣁꢮ꣄ꢜꢵ ꢓꢵꢳ꣄
தோல்வி  ,failure,ஒட்னி/பராஜெயொ,"ओट्नि, पराजेयो","ꢏꢜ꣄ꢥꢶ, ꢦꢬꢵꢙꢾꢫꣁ"
நீச்சல்  ,swimming,தர்னி/ஈதொ,"तर्नि, ईया॑","ꢡꢬ꣄ꢥꢶ, ꢅꢡꣁ"
நேர்முக வர்ணனை   ,Live commentary,வெது3ரு வர்ணனொ/ ப்ரத்யக்ஷ வர்ணனொ/  தத்காலு வர்ணனொ,"व॑दुरु वर्णना॑, प्रत्यक्ष वर्णना॑, तत्कालु वर्णना॑","ꢮꢾꢣꢸꢬꢸ ꢮꢬ꣄ꢠꢥꣁ, ꢦ꣄ꢬꢡ꣄ꢫꢒꢰ ꢮꢬ꣄ꢠꢥꣁ, ꢡꢡ꣄ꢒꢵꢭꢸ ꢮꢬ꣄ꢠꢥꣁ"
பட்டம்  ,title,வ்ருது,वृतु,ꢮꢺꢡꢸ
பட்டம்  ,kite,பொட்டம்,पा॑ट्टम्,ꢦꣁꢜ꣄ꢜꢪ꣄
படகுப் போட்டி   ,boating/sailing competition,நெளகா ஸ்பர்த4னொ/ நௌகா பொந்தி,"नौका स्पर्धना॑, नौका पा॑न्ति","ꢥꣃꢒꢵꢱ꣄ꢦꢬ꣄ꢤꢥꣁ, ꢥꣃꢒꢵ ꢦꣁꢥ꣄ꢡꢶ"
பந்தயம்  ,competition,ஸ்பர்த4ன்/பொந்தி,"स्पर्धन, पा॑न्ति","ꢱ꣄ꢦꢬ꣄ꢤꢥ꣄, ꢦꣁꢥ꣄ꢡꢶ"
பந்து  ,ball,பந்து3/ கொ3ளொ,"पन्दु, का॑ळा॑","ꢦꢥ꣄ꢡꢸ, ꢔꣁꢳꣁ"
பம்பரம்  ,top,பொ4ங்கு3ரொ,भा॑ङकुरा॑,ꢩꣁꢖ꣄ꢒꢸꢬꣁ
பரிசு  ,prize,பொ4கு3மான்/ஜேம்,"भा॑गुमान, जेम","ꢩꣁꢔꢸꢪꢵꢥ꣄, ꢙꢿꢪ꣄"
பல்லாங்குழி  ,a native game,பல்லாங்குழி,पल्लाङकुळि,ꣁꢦꢭ꣄ꢭꢵꢖ꣄ꢒꢸꢳꢶ
புள்ளிகள்  ,points,ஸங்க்2யான்,सङख्यान,ꢱꢖ꣄ꢓ꣄ꢫꢵꢥ꣄
பூப்பந்து  ,badminton,பூ2லுகொ3ளொ/பூ2லு பந்து3,"फुलु गा॑ळा॑, फुलु पन्दु","ꢧꢹꢭꢸ ꢔꣁꢳꣁ, ꢧꢹꢭꢸ ꢦꢥ꣄ꢣꢸ"
போட்டித் தொடர்   ,play series, ஸ்பர்தா4 தொரண்/ ,स्पर्धा ता॑रण,ꢱ꣄ꢦꢬ꣄ꢤꢵ ꢡꣁꢬꢠ꣄
வலை  ,net,ஒலொ/ஜால்,"आ॓ला॑, जाल","ꢏꢭꣁ, ꢙꢵꢭ꣄"
விளையாட்டரங்கம்   ,stadium,கே2ளு ரேம்,खेळु रेम्,ꢓꢿꢳꢸ ꢬꢾꢪ꣄
விளையாட்டு  ,play,கே2ள்,खेळ,ꢓꢿꢳ꣄
வீரர்  ,sportsman,கே2ளுவான்/தீ4ர்,"खेळुवन, थीर","ꢓꢿꢳꢸꢮꢥ꣄, ꢢꢷꢬ꣄"
வீராங்கனை  ,sportswoman,கே2ளுவதி/கே2ளளி,"खेळुवति, खेळळि","ꢓꢿꢳꢸꢮꢡꢶ, ꢓꢿꢳ꣄ꢳꢶꢶ"
வெற்றி  ,victory,ஜீக்/ஜெயம்,"जीक्, ज॑यम","ꢙꢷꢒ꣄, ꢙꢾꢫꢪ꣄"
