alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
சால்,caal,நடத்தை,"Behavior, Conduct, Manners, Etiquette",,,,
சால்சலன்,caalcalan,நடத்தை,"Behavior, Conduct, Manners, Etiquette",,,,
லோக்சால்,lOkcaal,நல்ல நடத்தை,"Good Manners, Conduct",,,,
நமஸ்கார்,namaskaar,வணக்கம்,"Hi, Hello",,,,
அபி4வாத3னொ,abhivaadano,"நல்வரவு, வரவேற்றல்","Welcome, Welcoming, Reception",,,,
த4ன்யவாத்,dhanyavaat,நன்றி,"Thanks, Thank you",,,,
த4ன்னு,dhannu,நன்றி,"Thanks, Thank you",,,,
மிந்தி3ன் மெல்லத்தெ,mindin mellatte,நன்றி சொல்லிக்கொள்தல்,"Saying ""Thanks"", Thank you",,,,
கீர்தி,keerti,புகழ்,Fame,,,,
யஶொ,yasso,புகழ்,Fame,,,,
நந்தினி,nantini,வாழ்த்து,"Greeting, Congrats",,,,
நந்தி3னுன்,nandinun,வாழ்த்துக்கள்,"Wishes, Greetings",,,,
நந்தி3னுன்,nandinun,வாழ்த்துக்கள்,"Congrats, Congratulations",,,,
ஆஸின்,aasin,வாழ்த்துக்கள்,Congratulations,,,,
நுதி,nuti,பெருமை,Pride,,,,
தீ3வனொ,deevano,ஆசிர்வாதம்,Blessing,,,,
ப4லா,bhalaa,நலம் உண்டாகட்டும்,Good luck,,,,
ப2ல்திபா2ர் நமஸ்கார்,phaltiphaar namaskaar,அதிகாலை வணக்கம்,Good morning,,,,
ஸொளபா2ர் நமஸ்கார்,soLaphaar namaskaar,காலை வணக்கம்,Good morning,,,,
து4வார் நமஸ்கார்,dhuvaar namaskaar,மதிய வணக்கம்,Good afternoon,,,,
வீள் நமஸ்கார்,veeL namaskaar,மாலை வணக்கம்,Good evening,,,,
ராத் நமஸ்கார்,raat namaskaar,இரவு வணக்கம்,Good night,,,,
ஸுப4 ராத்,subha raat,நல் இரவு,Good night,,,,
க்ஷமொ,kshamo,"மன்னித்தல், மன்னிப்பு","Apology, Forgiveness",,,,
ஸவன்,savan,"மன்னித்தல், மன்னிப்பு","Apology, Forgiveness",,,,
மாப் கெருவோ,maap keruvO,மன்னிக்கவும்,"Sorry, Excuse, Pardon, Forgive",,,,
மாப் மாய்,maap maay,மன்னிப்பு கேள்,Apologize,,,,
ஹகு3ர்,hagur,பொறுமையின்மை,Impatient,,,,
அசார்,acaar,"ஒழுக்கம், நடத்தை","Discipline, Conduct",,,,
நம்ப்ரொ,nampro,ஒழுக்கம்,Discipline,,,,
ப4வ்யுர்,bhavyur,பணிவு,"Modesty, Humility",,,,
நம்ரொ,namro,பணிவு,"Modesty, Humility",,,,
சமத்கார்,camatkaar,பணிவு,"Modesty, Humility",,,,
நமி,nami,பணிந்து,"Submissively, Modesty",,,,
நம்ரதொ,namrato,அடக்கம்,"Humble, Modesty, Humility, Submissive",,,,
க2ரால்,kharaal,கண்டிப்பு,"Strict, Stringency",,,,
விஞ்ஞாபனொ,vinjnjaapano,கோரிக்கை,"Request, Advertisement",,,,
ப்ரார்த2னொ,praarthano,கோரிக்கை,Request,,,,
உபகார்,upakaar,உதவி,Help,,,,
உபஹார்,upahaar,உதவி,Help,,,,
மென்லெ,menle,"மன்றாடு, கருதிக்கொள், எண்ணிக்கொள், நினைத்துகொள்","Plead, Consider",,,,
மென்லத்தெ,menlatte,"மன்றாடுதல், கருதுதல், எண்ணிக்கொள்ளுதல், நினைத்துகொள்ளுதல்","Pleading, To consider",,,,
த3யொ,dayo,"இரக்கம், கருணை","Compassion, Kindness, Mercy, Sympathy",,,,
த3யாளுப்பன்,dayaaLuppan,"இரக்கம், கருணை","Compassion, Kindness, Mercy, Sympathy",,,,
தா3க்ஷன்,daakshan,"இரக்கம், கருணை","Compassion, Kindness, Mercy, Sympathy",,,,
த3க்ஷண்,dakshaN,"இரக்கம், கருணை","Compassion, Kindness, Mercy, Sympathy",,,,
ப்ரீதி,preeti,"அன்பு, கருணை","Love, Kindness",,,,
கெங்கு,kengku,கருணை,Grace,,,,
மொர்க்3யாத்,morgyaat,மரியாதை,"Respect, Courtesy",,,,
மர்யாதொ3,maryaado,மரியாதை,"Respect, Courtesy",,,,
உபசார்,upacaar,"விருந்தோம்பல், நடத்தும் வகை","Courtesy, Treatment",,,,
நங்கு,nangku,"நாணயம், நேர்மை","Honesty, Sincerity",,,,
நங்கத்திஸா,nangkattisaa,"நாணயமான, நேர்மையான","Honest, Sincere",,,,
தெ4ரும்,dherum,"தர்மம், நேர்மை","Charity, Dharma, Righteousness, Honesty, Sincerity",,,,
ப4வ்யம்,bhavyam,கண்ணியம்,"Polite, Dignity, Decency",,,,
"ப4வ்யம் ஹொயெ, ப4வ்யம்கன்","bhavyam hoye, bhavyamkan","கண்ணியமான, கண்ணியமாக","Politeful, Dignified, Decent",,,,
ஸெகு3ஞ்ஜுனொ,segunjjuno,சகித்துக்கொள்ளுதல்,Endure,,,,
அஹிம்ஸொ,ahimso,வன்முறையற்ற,Non violent,,,,
மெய்,mey,ஆக,So,,,,
ஹாய்,haay,"ஆம், ஆமாம்","Yes, Yeah, Yup",,,,
வேய்,vEy,ஆகட்டும்,"Okey, Okay",,,,
வெகொ3,vego,ஆகட்டும்,"Okey, Okay",,,,
ஸ்வபா4வு,svabhaavu,"இயற்கை, குணம், இயற்கை குணம்","Natural, Temperament, Natural character",,,,
சா2ளி,chaaLi,இயற்கை குணங்கள்,Natural qualities,,,,
ஸாருன்,saarun,"நல்ல குணங்கள், நற்செயல்கள்","Good qualities, Good deeds",,,,
ருஸ்பொ,ruspo,நியாயமாக நடத்தல்,Behaving reasonably,,,,
ஸெத்து,settu,சத்தியம்,Truth,,,,
ஸெத்து வத்தொ,settu vatto,உண்மையான பேச்சு,Real talk,,,,
ர்ஹத்த வத்தொ,rhatta vatto,உண்மையான பேச்சு,Real talk,,,,
நிபூ3ஸ்,niboos,உண்மையான பேச்சு,Real talk,,,,
