alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
வராமான்,varaamaan,வானிலை,Weather,வரொகின் வாத3ளொ ஹால் வராமான் நிச்சு மர்ச்சாஸு,varokin vaadaLo haal varaamaan niccu marccaasu,காற்று மற்றும் புயல் காரணமாக நாள்தோறும் வானிலை மாறுகிறது,The weather changes daily due to winds and storms
ஹூன்,hoon,வெயில்,Sunny,ஹிந்தொ3 ஹூன் வேன் ஸே,hindo hoon vEn sE,இன்று வெயில் அதிகமாக உள்ளது,Today the sun is high
ஹூந்ஹளத்,hoonhaLat,மஞ்சள் வெயில்,Evening sunlight,ஹூந்ஹளத் ஆங்கு3க் விட்டமின் டி3 தே3ஸு,hoonhaLat aangguk viTTamin Di dEsu,மஞ்சள் வெயில் உடலுக்கு வைட்டமின் டி அளிக்கிறது,Evening sunlight provides vitamin D to the body
மேக்4,mEgh,மேகம்,Cloud,களொ மேக்4 பொவ்ஸ் அனஸு,kaLo mEgh povs anasu,கருமேகம் மழையை கொண்டுவருகிறது,The black cloud brings rain
சிணுக்,ciNuk,தூறல்,Drizzle,பொவ்ஸுக் முது3ல்லொ சிணுக் பொடெ3ஸ்,povsuk mudullo ciNuk poDes,மழைக்கு முன் லேசாக தூறல் விழுந்தது,Lightly drizzled before rain
சிங்குல்,cingkul,தூறல்,Drizzle,லேஸ்கன் சிங்குல் லலரஸ்,lEskan cingkul lalaras,லேசாக தூறல் பெய்கிறது,It is drizzling slightly
ஸீக3ல்,seegal,தூறல்,Drizzle,ஸொளொபா2ர் ர்ஹீ ஸீக3ள் தய்லேத் ஸே,soLophaar rhee seegaL taylEt sE,காலையில் இருந்து தூறல் பெய்து வருகிறது,It has been drizzling since morning
பொவ்ஸ்,povs,மழை,Rain,பொவ்ஸ் ஸுட்டுனாத்தக் பொட்3லேத் ஸே,povs suTTunaattak poDlEt sE,தொடர்ந்து மழை பெய்து வருகிறது,It is constantly raining
பொவ்ஸு பனி,povsu pani,மழை நீர்,Rain water,அவ்ரெ வீது3ம் பொவ்ஸு பனி ஹிப்3பி3ரெஸ்,avre veedum povsu pani hibbires,எங்கள் தெருவில் மழைநீர் தேங்கி நிற்கிறது,Rainwater is stagnant in our street
ஜ2ஞ்ஜு,jhanjju,"பேய்மழை, கனமழை","Torrential rain, Heavy rain, Thunderstorm, Thunder storm",ஜ2ஞ்ஜு ஹால் மென்க்யான் வேன் கெஷ்டம் பொட்லேத் ஸே,jhanjju haal menkyaan vEn keshTam poTlEt sE,பேய்மழையால் மக்கள் மிகவும் கஷ்டப்படுகின்றனர்,People are suffering due to torrential rain
ஒஸாட்,osaaT,மழைநீர் தெறித்தல்,Splashing of rainwater,விடி3கவாட் ஜா2ய். ஒஸாட் ஹனரஸ்,viDikavaaT jhaay. osaaT hanaras,ஜன்னல் கதவை மூடு. மழை நீர் தெறிக்கிறது,Close the window panes. Rain water splashes
கர்கொ,karko,ஆலங்கட்டி,Hailstone,பொள்டொ ஹொல்லொ கர்கொ பொடெ3ஸி,poLTo hollo karko poDesi,கூரை மீது ஆலங்கட்டி மழை பொழிந்தது,Hail pounded on the roof
வரொ,varo,காற்று,"Air, Wind",பொ3லொம்ஹொயெ வரொ ஹனெ ஹால் ஜு2கு3 ஜா2டு3ன் மூள் ஸெரொ உக்கயி பொள்டி3யொ,bolomhoye varo hane haal jhugu jhaaDun mooL sero ukkayi poLDiyo,பலமான காற்று வீசியதால் ஏராளமான மரங்கள் வேரோடு சாய்ந்தன,A lot of trees were uprooted due to strong winds
ஸில்லொ வரொ,sillo varo,தென்றல்,Breeze,த3க்ஷண் பொகட் ர்ஹீ ஸில்லொ வரொ ஹனரஸ்,dakshaN pokaT rhee sillo varo hanaras,தெற்கிலிருந்து தென்றல் வீசுகிறது,The breeze is blowing from the south
வௌல்,vaul,வாடைக்காற்று,Cold Breeze,உத்தர் பொகட் ர்ஹீ வௌல் ஹனரஸ்,uttar pokaT rhee vaul hanaras,வடக்கிலிருந்து வாடைக் காற்று வீசுகிறது,Cold winds blow from the north
ஹேன்,hEn,அனல்காற்று,Hot air,சித்திரை ம்ஹடா3ம் ஹேன் ஹனயி,cittirai mhaDaam hEn hanayi,சித்திரை மாதத்தில் அனல் காற்று வீசும்,Hot air blows during the month of Chittirai
வாத3ளொ,vaadaLo,புயல்,Storm,வாத3ளொ தெ3ட்டு பொவ்ஸ் க2ல்லி அவஸு,vaadaLo deTTu povs khalli avasu,புயல் பலத்த மழையைக் கொண்டுவருகிறது,The storm is bringing heavy rain
சக்ரவாத3ளொ,cakravaadaLo,சூறாவளி,"Cyclone, Hurricane","சக்ரவாத3ளாம் பெ4ண்டு, கா3யின் மெல்லொ ஹுட3ரஸி","cakravaadaLaam bheNTu, gaayin mello huDarasi","சூறாவளியில் ஆடு, மாடுகளும் பறக்கின்றன",Sheep and cows also fly in the hurricane
ஹீம்,heem,குளிர்,Cool,கம்ப3ள் சொக்காய் ஹீமும் ர்ஹீ ஆங்கு3க் கப3ட3யி,kambaL cokkaay heemum rhee aangguk kabaDayi,கம்பளி சட்டைகள் குளிரில் இருந்து உடலைப் பாதுகாக்கும்,Sweaters protect the body from the cold
