Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢂꢣꢿꢖ꣄ꢒꢦ꣄ꢦꢵ,अडेङ्कप्पा,அடே3ங்கப்பா,adenkappaa,adeGkappA,adeṅkappā,əd̪eːŋkəppɑː,expression of wonder,அடடா  
ꢂꢪ꣄ꢪꢵꢞꢶ,अम्माडि,அம்மாடி3,ammaad'i,ammADi,ammāḍi,əmmɑːɖɪ,expression of wonder,அடடா  
ꢂꢮ ꢂꢪ꣄ꢨꢵ,अव अम्बा,அவ அம்பா3,ava ambaa,ava ambA,ava ambā,əʋə əmbɑː,expression of wonder,அடடா  
ꢡꢾꢭ꣄ꢫꢒ ꢲꢵꢭ꣄,तेल्यक हाल,தெல்யக ஹால்,te'lyaka haal,tElyaka hAl,tĕlyaka hāl,t̪eljəkə ɦɑːl,so,அதனால்  
ꢲꢵꢭꢶꢪ꣄,हालिम,ஹாலிம்,haalim,hAlim,hālim,ɦɑːlɪm,so,அதனால்  
ꢡꢿꢜ꣄ꢱꢵ,तेट्सा,தேட் ஸா,tet'saa,teTsA,teṭsā,t̪eːʈs̪ɑː,look there,அதோ  
ꢄꢱꣁꢫꢵ,इसा॑या,இஸொயா?,iso'yaa,isOyA,isŏyā,ɪs̪ojɑː,is it so?,அப்படியா?
ꢄꢱꣂꢪꢾꢥꢾꢡꢶ,इसा॑म॑न॑ति,இஸொமெனெதி,isome'ne'ti,isomEnEti,isomĕnĕti,ɪs̪oːmen̪et̪ɪ,if it is so,அப்படியென்றால்  
ꢲꢵ,हा,ஹா,haa,hA,hā,ɦɑː,expression of pain,அப்பா  
ꢂꢦ꣄ꢦꢵꢜꢶ ,अप्पाटि,அப்பாடி,appaat'i,appATi,appāṭi,əppɑːʈɪ,expression of wonder,அப்பாடி  
ꢂꢪ꣄ꢪꢵꢜꢷ,अप्पाटी,அப்பாடீ,ammaat'ee,ammATI,ammāṭī,əmmɑːʈiː,expression of pain,அப்பாடீ  
ꢂꢪ꣄ꢪꢵꢜꢶ,अम्माटि,அம்மாடி,ammaat'i,ammATi,ammāṭi,əmmɑːʈɪ,expression of pain,அம்மா  
ꢥꢴꢵ,न्हा,நா:,nhaa,nhA,nhā,n̪ɦɑː,no,அல்ல  
ꢡꢾꢭ꣄ꢫꢒ ꢲꢵꢭ꣄,त॑ल्यक हाल,தெல்யக ஹால்,te'lyaka haal,tElyaka hAl,tĕlyaka hāl,t̪eljəkə ɦɑːl,so,ஆகையால்  
ꢲꢵꢫ꣄,हाय्,ஹாய்,haay,hAy,hāy,ɦɑːj,a response,ஆங்  
ꢲꢵꢫ꣄,हाय्,ஹாய்,haay,hAy,hāy,ɦɑːj,yes,ஆமாம்  
ꢲꣁꢫꢾꢡꢶ,हा॑य॑ति,ஹொயெதி,ho'ye'ti,hOyEti,hŏyĕti,ɦojet̪ɪ,but,ஆனால்  
ꢪꢾꢔꢶ,मेगि,மெகி3,me'gi,mEgi,mĕgi,megɪ,but,ஆனால்  
ꢌꢭ꣄ꢫꢾꢒ ꢲꢵꢭ꣄,ए॑ल्य॑क हाल,எல்யெக ஹால்,e'lye'ka haal,ElyEka hAl,ĕlyĕka hāl,eljekə ɦɑːl,hereby,இதனால்  
ꢍꢜ꣄ꢱꢵ,एट्सा,ஏட்ஸா,et'saa,eTsA,eṭsā,eːʈs̪ɑː,look here,இதோ  
ꢍꢭꢵ,एला,ஏலா,elaa,elA,elā,eːlɑː,look here,இதோ  
ꢓꢳꢳꢿ,खळ्ळे,க2ள்ளே,khal'al'e,khaLaLe,khal̤al̤e,kʰəɭəɭeː,take this,இந்தா
ꢤꢿꢬ꣄,धेर,தே4ர்,dher,dher,dher,d̪ʰeːɾ,take this,இந்தா
