Unnamed: 0,"42. Types, Qualities, Feelings, Concepts and Habits","கு3ண்ணுன், பா4வனான், ஸித்3தா4ந்துன் கினு ஜிவன்ரீதின் – எல்யக வகா3ன்","गुण्णुन, भावनान, सिद्धान किनु जिवन्रीतिन -एल्यक वगान","ꢔꢸꢠ꣄ꢠꢸꢥ꣄, ꢩꢵꢮꢥꢵꢥ꣄, ꢱꢶꢣ꣄ꢤꢵꢥ꣄ꢡꢸꢥ꣄ ꢒꢶꢥꢸ ꢙꢶꢮꢥ꣄ꢬꢷꢡꢶꢥ꣄ ꢌꢭ꣄ꢫꢒ ꢮꢔꢵꢥ꣄"
அகங்காரம்  ,proudness,கெ3ருவ்,ग॑रुव,ꢔꢾꢬꢸꢮ
அங்கலாய்ப்பு  ,lamenting,விசார்,विचार्,ꢮꢶꢗꢵꢬ꣄
அசடு  ,booby,ஹெட்3டெ3,ह॑ड्ड॑,ꢲꢾꢞ꣄ꢞꢾ
அசிங்கம்  ,ugly,அஸிங்க3ம்,असिङ्गम,ꢂꢱꢶꢖ꣄ꢔꢪ
அடக்கம்  ,"modesty, obedience",விநயொ,विनया॑,ꢮꢶꢥꢫꣁ
அடங்காப்பிடாரி   ,termagant,"ப4ஜாரின், லவ்ண்டி3","भजारिन्, लव्ण्डि","ꢩꢙꢵꢬꢶꢥ꣄, ꢭꢮ꣄ꢠ꣄ꢞꢶ"
அடங்காப்பிடாரித்தனம்   ,termagancy,ப4ஜாரிபன்,भाजारिपन,ꢩꢵꢙꢵꢬꢶꢦꢥ꣄
அடிமை  ,slave,"தா3ஸ், தா3ஸி","दास्, दासि","ꢣꢵꢱ꣄, ꢣꢵꢱꢶ"
அடிமைத்தனம்  ,slavery,தா3ஸப்பன்,दासप्पन्,ꢣꢵꢱꢦ꣄ꢦꢥ꣄
அதிகாரம்  ,power,அதி4கார்,अधिकार्,ꢂꢤꢶꢒꢵꢬ꣄
அதிசயம்  ,surprise,ஆச்சர்யொ,आच्चया॑,ꢃꢗ꣄ꢗꢬ꣄ꢫꣁ
அதிருப்தி  ,dissatisfaction,அதிருப்தி,अतिरुप्ति,ꢂꢡꢶꢬꢸꢦ꣄ꢡꢶ
அதிர்ஷ்டம்  ,luck,அது3ஷ்டு,अदुष्टु,ꢂꢣꢸꢰ꣄ꢜꢸ
அந்தஸ்து  ,status,அந்த3ஸ்து,अन्दस्तु,ꢂꢥ꣄ꢣꢱ꣄ꢡꢸ
அப்பாவி  ,simpleton,"தே3வுபா3ப், தம்மாடி3/அப்ராணி","देवुबाप्, तम्माडि, अप्राणि","ꢣꢾꢮꢸꢨꢵꢦ꣄, ꢡꢪ꣄ꢪꢵꢞꢶ, ꢂꢦ꣄ꢬꢵꢠꢶ"
அபத்தம்  ,absurdity,"அனர்து2வத்தொ, மிதன்வத்தொ","अन्र्थुवत्तो, मितन्वत्तो","ꢂꢥꢬ꣄ꢢꢸꢮꢡ꣄ꢡꣁ, ꢪꢶꢡꢥ꣄ꢮꢡ꣄ꢡꣁ"
அபிநயம்  ,sign (in dance),முத்3ரொ,मुद्रा॑,ꢪꢸꢣ꣄ꢬꣁ
அபிமானம்  ,"Regard,love",அபி4மான்,अभिमान,ꢂꢩꢶꢪꢵꢥ꣄
அமைதி  ,peace,ஶாந்தி,शान्ति,ꢯꢵꢥ꣄ꢡꢶ
,,ஆயாஸம்,आयासम्,ꢃꢫꢵꢱꢪ꣄
அயர்வு/ அயர்ச்சி  ,tiredness,ஸீன்,सीन्,ꢱꢷꢥ꣄
அருள்  ,grace,க்ருபொ,कृपा॑,ꢒꢺꢬꢸꢦꣁ
அலங்காரம்  ,"beautification, decoration",அலங்கார்,अलङ्कार्,ꢂꢭꢖ꣄ꢒꢵꢬ꣄
அலட்சியம்  ,indifference,உதா3ஸீன்,उदासीन,ꢆꢣꢵꢱꢷꢥ꣄
அலறல்  ,screaming,ப4வாட்,भवाट्,ꢩꢮꢵꢜ꣄
அலைச்சல்  ,wandering,ஹிண்ட3ஸ்தே,हिण्डस्ते,ꢲꢶꢠ꣄ꢞꢱ꣄ꢡꢿ
அவநம்பிக்கை  ,disbelief,அவிஸ்வாஸ்,अविस्वास्,ꢂꢮꢶꢱ꣄ꢮꢵꢱ꣄
அவமானம்  ,disgrace,களங்கு3,कळङ्गु,ꢒꢳꢖ꣄ꢔꢸ
அழகன்  ,handsome man,ஸுந்த3ரொ,सुन्दरा॑,ꢱꢸꢥ꣄ꢣꢬꣁ
