ꢗꢸꢳ꣄ꢳꣁ,चुळ्ळा॑,சுல்லொ,stove (oven),அடுப்பு  
ꢡꢜꣁ,तटो,தடொ,peg,ஆப்பு  
ꢄꢜ꣄ꢒꢶ,इट्कि,இட்கி,forceps,இடுக்கி  
ꢮꢶꢜ꣄ꢒꢶ,विट्कि,விட்கி,forceps,இடுக்கி  
ꢭꢴꣁꢔꢠꢸꢦꢾꢜꢶ,ल्हा॑गणुप॑टि,லொ:க3ணுபெடி,iron self,இரும்புப் பெட்டி   
ꢱꢸꢬꢸꢔ꣄,सुरुग,ஸுருக்3,drawer of a table,இழுப்பறை  
ꢔꢾꢱꢶꢥ ꢶꢦꢾꢜꢶ,ग॑सिनि प॑टि,கெ3ஸினிபெடி,iron box,இஸ்திரிப்பெட்டி  
ꢱꢜꣁ,सटा॑,ஸடொ,ladder,ஏணி  
ꢱ꣄ꢬꢿꢠꢶ,स्रेणि,ஸ்ரேணி,ladder,ஏணி  
ꢗꢶꢡ꣄ꢬꢸ,चित्रु,சித்ரு,painting,ஓவியம்  
ꢗꢶꢡ꣄ꢡꢸꢬ꣄,चित्तुर,சித்துர்,painting,ஓவியம்  
ꢪꢛ꣄ꢗꢸ,मञ्चु,மஞ்சு,cot,கட்டில்  
ꢪꣁꢛ꣄ꢗꣁ,मा॑ञ्चा॑,மொஞ்சொ,cot,கட்டில்  
ꢕꢾꢜꢶꢔꢳꣁ,घ॑टिगळा॑,கெ4டி3க3ளொ,wrist watch,கடிகாரம்  
ꢣꢮ꣄ꢠꣁ,दव्णा॑,த3வ்ணொ,mirror,கண்ணாடி  
ꢂꢣ꣄ꢣꢪ꣄,अद्दम,அத்3த3ம்,mirror,கண்ணாடி  
ꢘꢸꢬꢶ,छुरि,சு2ரி,knife,கத்தி  
ꢒꢾꢡ꣄ꢡꢶꢬꢶꢒꢾ,क॑त्तिरिक॑,கெத்திரிகெ,scissors,கத்திரி  / கத்திரிக்கோல்
ꢒꢪ꣄ꢨ꣄ꢭꣁ,कम्ब्ळा॑,கம்ப்3ளொ,wollen blanket,கம்பளிப் போர்வை   
ꢧꢖ꣄ꢔꢸꢬꣁ,फङ्गुरा॑,ப2ங்கு3ரொ,wollen blanket,கம்பளிப் போர்வை   
ꢇꢬ꣄ꢠꢸꢧꢖ꣄ꢔꢸꢬꣁ,ऊरणु फङ्गुरा॑,ஊர்ணு ப2ங்கு3ரொ,wollen blanket,கம்பளிப் போர்வை   
ꢓꢜ꣄ꢜꢶ,खट्टि,க2ட்டி,stick,கம்பு  
ꢦꢵꢄ~ ꢦꣁꢱꢸꢥꢵꢮ꣄,पाइ~ पा॑सुनाव,பாஇ~பொஸுனாவ்,doormat,கால்மிதி  
ꢦꣃꢱꢸꢭ꣄,पौसुल्,பௌஸுல்,footwear,காலணி  
ꢔꢸꢖ꣄ꢔꢸꢪꢸ ꢩꣁꢬꢠꢶ,गुङ्गुमु भा॑रणि,குங்கு3மு பொ4ரணி,kumkum box,குங்குமச் சிமிழ்   
ꢱꢣꢶ,सदि,ஸதி3,umbrella,குடை  
ꢘꢡ꣄ꢬꢶ,छत्रि,ச2 த்ரி,umbrella,குடை  
ꢔꢾꢭ꣄ꢭꣁ,ग॑ल्ला॑,கெ3ல்லொ,vessel for storing grains,குதிர்  
ꢔꢸꢡ꣄ꢡꢶ,गुत्ति,கு3த்தி,bottle,குப்பி  
ꢔꢸꢦ꣄ꢦꣁ,कुप्पा॑,குப்பொ,trash,குப்பை  
ꢲꢷꢞꢸꢮꢱ꣄ꢡꢸꢥ꣄,हीडुवस्तुन,ஹீடு3வஸ்துன்,trash,குப்பை  
ꢔꢾꢭ꣄ꢭꣁ,ग॑ल्ला॑,கெல்லொ,Earthen vessel for storing grains,குலுக்கை
ꢒꣂꢮꢶ,कोवि,கோவி,pipe,குழல்  
ꢧꢸꢥ꣄ꢥꢳꢶ,फुन्नळि,பு2ன்னளி,pipe,குழல்  
ꢒꣁꢳꢵꢫ꣄,का॑ळाय,கொளாய்,tap,குழாய்  
ꢥꢳꢶ,नळि,நளி,tap,குழாய்  
ꢲꢵꢡꢸ ꢓꣁꢳ꣄ꢜꢶ,हातु खा॑ळ्टि,ஹாதுகொ2ள்டி,handbag,கைப்பை  
ꢦꢶꢱꢸꢳꢵ ꢏꢭꣁ,पिचुळा आ॑लो,பிஸுளா ஒலொ,mosquito net,கொசுவலை  
