ꢂꢖ꣄ꢔꢸꢱꣁ,अङ्गुसा॑,அங்கு3ஸொ,anguso',aGgusO,aṅgusŏ,əŋgus̪o,iron rod of mahout,அங்குசம்  
ꢪꢸꢣ꣄ꢬꢠꢱꢵꢭꣁ,मुद्रणसाला॑,முத்3ரணஸாலொ,mudranasaalo',mudraNasAlO,mudraṇasālŏ,mud̪ɾəɳəs̪ɑːlo,printing press,அச்சகம்  
ꢥꢶꢪ꣄ꢦꢶꢥꢶ,निम्पिनि,நிம்பினி,nimpini,nimpini,nimpini,n̪ɪmpɪn̪ɪ,printing,அச்சடிப்பு  
ꢪꢸꢣ꣄ꢬꢠꣁ,मुद्रणा॑,முத்3ரணொ,mudrano',mudraNO,mudraṇŏ,mud̪ɾəɳo,printing,அச்சடிப்பு  
ꢥꢶꢪ꣄ꢦꢶꢥꢶꢮꢵꢥ꣄,निम्पिनिवान,நிம்பினிவான்,nimpinivaan,nimpinivAn,nimpinivān,n̪ɪmpɪn̪ɪʋɑːn̪,printer,அச்சிடுபவர் 
ꢪꢸꢣ꣄ꢬꢠꣁ ꢒꢾꢬ꣄ꢥꢵꢬ꣄,मुद्रणा॑ क॑र्नार,முத்3ரணொ கெர்னார்,mudrano' ke'rnaar,mudraNO kErnAr,mudraṇŏ kĕrnār,mud̪ɾəɳo keɾn̪ɑːɾ,printer,அச்சிடுபவர் 
ꢦꢡ꣄ꢬꢮꢵꢲꢒꣁ,पत्रवाहका॑,பத்ரவாஹகொ,patravaahako',patravAhakO,patravāhakŏ,pət̪ɾəʋɑːɦəko,post man,அஞ்சல்காரர்  
ꢦꢡ꣄ꢬꢮꢵꢲꣁ,पत्रवाहा॑,பத்ரவாஹொ,patravaaho',patravAhO,patravāhŏ,pət̪ɾəʋɑːɦo,post man,அஞ்சல்காரர்  
ꢭꢾꢓꢸꢮꢵꢥ꣄,लेखुवान,லேகு2வான்,le'khuvaan,lEkhuvAn,lĕkhuvān,lekʰuʋɑːn̪,post man,அஞ்சல்காரர்  
ꢮꢵꢭ꣄ꢮꢸ,वाल्वु,வால்வு,vaalvu,vAlvu,vālvu,ʋɑːlʋu,valve,அடைப்பிதழ்/வால்வு
ꢚꢔꢶ ꢲꢸꢔꢸꢞꢵꢮ꣄,झगि हुगुडाव,ஜ2கி3ஹுகு3டா3வ்,jhagi hugud'aav,jhagi huguDAv,jhagi huguḍāv,d͡ʒʰəgɪ ɦuguɖɑːʋ,valve,அடைப்பிதழ்/வால்வு
ꢮꢬꢶꢞꣁ,वरिडा॑,வரிடொ3,varid'o',variDO,variḍŏ,ʋəɾɪɖo,barber (male),அம்பட்டன்  
ꢮꢫꢞꢾ,वयड॑,வய்டெ3,vayad'e',vayaDE,vayaḍĕ,ʋəjəɖe,barber (male),அம்பட்டன்  
ꢥꢶꢥꢵꢮ꣄ ꢒꢾꢬ꣄ꢥꢵꢮ꣄,निनाव क॑र्नाव,நி:னாவ் கெர்னாவ்,ninaav ke'rnaav,ninAv kErnAv,nināv kĕrnāv,n̪ɪn̪ɑːʋ keɾn̪ɑːʋ,file,அரம்  
ꢒꢡ꣄ꢒꣁ,कत्का॑,கத்கொ,katko',katkO,katkŏ,kət̪ko,sickle,அரிவாள்  
ꢒꢒ꣄ꢒꣁ,कक्का॑,கக்கொ,kakko',kakkO,kakkŏ,kəkko,sickle,அரிவாள்  
ꢧꢱꢭ꣄ ꢒꢜꢱ꣄ꢡꢾ,फसल कटस्ते,ப2ஸல் கடஸ்தே,phasal kat'aste',phasal kaTastE,phasal kaṭastĕ,pʰəs̪əl kəʈəs̪t̪e,harvest,அறுவடை  
ꢲꣁꢞꢫ꣄ꢡ꣄,हा॑डय्त,ஹொட3ய்த்,ho'd'ayt,hODayt,hŏḍayt,ɦoɖəjt̪,carpenter,ஆசாரி  / தச்சன்  
ꢃꢠꢶ,आणि,ஆணி,aani,ANi,āṇi,ɑːɳɪ,nail,ஆணி  
ꢄꢜ꣄ꢒꢶ,इट्कि,இட்கி,it'ki,iTki,iṭki,ɪʈkɪ,tongs,இடுக்கி  
ꢔꢮ꣄ꢬꢶ,गव्रि,க3வ்ரி,gavri,gavri,gavri,gəʋɾɪ,shepherd (f),இடைச்சி  
ꢔꣁꢭ꣄ꢭꢬꢶꢥ꣄,गोल्लरिन,கொ3ல்லரின்,go'llarin,gOllarin,gŏllarin,golləɾɪn̪,shepherd (f),இடைச்சி  
ꢔꣁꢮ꣄ꢭꢶ,का॑व्लि,கொ3வ்லி,go'vli,gOvli,gŏvli,goʋlɪ,shepherd (f),இடைச்சி  
ꢔꢮ꣄ꢬꢸ,गव्रु,க3வ்ரு,gavru,gavru,gavru,gəʋɾu,shepherd (m),இடையன்  
ꢔꣁꢮ꣄ꢭꣁ,गा॑व्ला॑,கொ3வ்லொ,go'vlo',gOvlO,gŏvlŏ,goʋlo,shepherd (m),இடையன்  
ꢱꢪ꣄ꢫꣂꢙꢒꣁ,स्म्योजका॑,ஸம்யோஜகொ,samyojako',samyojakO,samyojakŏ,s̪əmjoːd͡ʒəko,co-ordinator,இணைப்பாளர்  
ꢃꢱꢥꣁ,आसना॑,ஆஸனொ,aasano',AsanO,āsanŏ,ɑːs̪ən̪o,seat,இருக்கை  
