அங்காடி  ,"shop, market",அங்கி3டி3,अङगिडि,ꢂꢖ꣄ꢔꢶꢞꢶ
அங்கீகாரம்  ,approval,அங்கீ3கார்,अङगीकार्,ꢂꢖ꣄ꢔꢷꢒꢵꢬ꣄
அடகு/அடமானம்  ,pawn,குதொ3,कुदा॑,ꢒꢸꢣꣁ
அடகுக்கடை  ,pawn broker,குதா3ங்கி3டி3,कुदाङकिडि,ꢒꢸꢣꢵꢖ꣄ꢔꢶꢞꢶ
ஆதரவு  ,support,ஆத3ரொ/ ஸஹயோக்3,"आदरा॑, सहयोग","ꢃꢣꢬꣁ, ꢱꢲꢫꣁꢔ꣄"
ஆதாயம்  ,profit,ஆதா3வ்,आदाव्,ꢃꢣꢵꢮ꣄
இயந்திரம்  ,machine,எந்துர்,ए॑न्तुर्,ꢌꢥ꣄ꢡꢸꢬ꣄
இரவல்  ,borrowal,ஹூதா3ர்,हूदार,ꢲꢹꢣꢵꢬ
இருப்பு  ,stock,ர:னி,र्हनि,ꢬꢴꢥꢶ
இலவசம் / இனாம்  ,free (as gift /present),கோ3ஸ்/ நிஸ்ஸுல்கொ,"गोस, निस्सुल्का॑","ꢔꣁꢱ꣄, ꢥꢶꢱ꣄ꢱꢸꢭ꣄ꢒꣁ"
இறக்குமதி  ,import,ஹுத்ராவ்,हुत्राव,ꢲꢸꢡ꣄ꢬꢵꢮ꣄
இனம்  ,variety,கு3ம்பு,घुम्पु,ꢕꢸꢪ꣄ꢦꢸ
இனாம்,free,கோ3ஸ்,गोस्,ꢔꣂꢱ꣄
உத்தரவாதம்  ,guarantee,உத்ரவாத்3,उत्रवाद्,ꢆꢡ꣄ꢬꢮꢵꢣ꣄
உரிமையாளர்  ,owner,"பா3த்3யவான், ஸுவாந்தா3ர்","बाद्यवान्, सुवान्दार्","ꢨꢵꢣ꣄ꢫꢮꢵꢥ꣄, ꢱꢹꢮꢵꢥ꣄ꢣꢵꢬ꣄"
