alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
ருக3த்தெ,rugatte,(சிங்கம்) கர்ஜித்தல்,(Lion) Roaring,ஸிம்ஹாக் ராக் அவெத் ருக3யி,simhaak raak avet rugayi,சிங்கத்திற்கு கோபம் வந்தால் கர்ஜிக்கும்,The lion will roar when it gets angry
உஸ்கத்தெ,uskatte,(நாய்) குரைத்தல்,(Dog) Barking,களானாத்தெங்கொ3 ஸியெத் ஸுனொ உஸ்கஸு,kaLaanaattenggo siyet suno uskasu,அந்நியர்களைப் பார்த்து நாய் குரைக்கிறது,The dog barks at the strangers
மெவ்கத்தெ,mevkatte,(பூனை) கத்துதல்,(Cat) Meowing,மஞ்ஜிரி ஹுடெ3த்திக்காம் மியாவ் கெரி மெவ்கஸு,manjjiri huDettikkaam miyaav keri mevkasu,பூனை எழுந்தவுடன் மியாவ் என்று கத்துகிறது,The cat meows when it wakes up
குகத்தெ,kukatte,(சேவல்) கூவுதல்,(Rooster) Crowing,ப2ல்திவாரும் குடொ3 குகஸு,phaltivaarum kuDo kukasu,விடியற்காலையில் சேவல் கூவும்,The rooster crows at dawn
மெமத்தெ,mematte,(ஆடு) கத்துதல்,(Goat) Bleating,பெ4ண்டு3 பூ4க் கெரத் மெமஸு,bheNDu bhook kerat memasu,ஆடு பசித்தால் கத்துகிறது,The goat bleats when it is hungry
பொ4மத்தெ,bhomatte,(எருமை) எக்காளமிடுதல்,"(Buffalo) Bellowing, Grunting, Snorting",பெ4ய்ஸு பொ4மினி கொ4ர்கு3ல் ஸெத்3து3 ஸொகன் ஸே,bheysu bhomini ghorgul seddu sokan sE,எருமை எக்காளம் குறட்டை சத்தம் போல் உள்ளது,The buffalo bellows are like snoring sound
ஹெஷத்தெ,heshatte,(குதிரை) கனைத்தல்,"(Horse) Neighing, Whinning",து3தூ3ர் கொ4டொ3 ஹெஷரியொ ஸெத்3து3 அய்கயஸ்,dudoor ghoDo heshariyo seddu aykayas,தூரத்தில் குதிரை கனைக்கும் சத்தம் கேட்டது,"In the distance, the horse neighing sound was heard"
கெ4ங்க3த்தெ,ghenggatte,(கழுதை) கத்துதல்,(Ass) Braying,கெ4த3ட் ர்ஹியெவாகுர் கெ4ங்க3ஸி,ghedaT rhiyevaakur ghenggasi,கழுதை திடீரென்று கத்தியது,The donkey suddenly brayed
க3ரத்தெ,garatte,(ஓநாய்) ஊளையிடுதல்,(Wolf) Yelling,உகொ அப்லானும் வதி3னி கெர்லத்தக் க3ரஸு,uko aplaanum vadini kerlattak garasu,ஓநாய் தங்களுக்குள் தொடர்பு கொள்ள ஊளையிடுறுகிறது,Wolf yells to communicate among themselves
ஹுகத்தெ,hukatte,(நரி) ஓலமிடுதல்,(Fox) Howling,கொ2லொ ராதும் ஹுகஸு,kholo raatum hukasu,நரி இரவில் ஊளையிடும்,The fox howls at night
க2னத்தெ,khanatte,(பன்றி) உறுமுதல்,(Pig) Grunting,து3க்கர் தெல்லெ ஸேத்தெ தா2ம் து3ஸுரெதெங்கொ3 களட3த்தக் க2னஸு,dukkar telle sEtte thaam dusuretenggo kaLaDattak khanasu,பன்றி தான் இருக்கும் இடத்தை மற்றவர்களுக்கு தெரியப்படுத்த உறுமும்,The pig grunts to let others know where they are
சிங்க3த்தெ,cinggatte,"(குரங்கு) கீச்சிடுதல், அலப்புதல்","(Monkey) Squealing, Whooping, Screeching, Screaming, Chatteingr, Howling",உத்ஸாஹ்கன் ர்ஹாத்தவேள் கீஸுன் (கோதின்) சிங்க3ஸு,utsaahkan rhaattavEL keesun (kOtin) cinggasu,உற்சாகமாக இருக்கும்போது குரங்குகள் அலப்பும்,Monkies squeak when excited
கிலுபி3லாட்,kilubilaaT,"(சிட்டுக்குருவி, எலி) கீச்சிடுதல்","(Sparrow, Rat) Chirping, Squeaking",சிடி3ன்கின் ஹுந்தி3ருன் கிலுபி3லயி,ciDinkin hundirun kilubilayi,சிட்டுக்குருவிகள் மற்றும் எலிகள் கீச்சிடும்,Sparrows and Rats squeak
ஹுபத்தெ,hupatte,(கோழி) குதித்தல்,(Hen) Jumping,குடி3 4 ர்ஹீ 6 பகு3ல் லெந்து ஹுபஸு,kuDi 4 rhee 6 pagul lentu hupasu,கோழி 4 முதல் 6 அடி வரை குதிக்கும்,The hens can jump 4 to 6 feet
கொஸத்தெ,kosatte,(மாடு) முட்டுதல்,(Cow) Goring,கொ3ருன் அப்லானும் கொஸுலஸு,gorun aplaanum kosulasu,பசுக்கள் தங்களுக்குள் முட்டிக் கொள்கின்றன,Cows gore among themselves
கு2ண்டத்தெ,khuNTatte,(சிங்கம்) கவ்வுதல்,(Lion) Grasping,ஸிம்ஹொ அபுல் சொராக் கு2ண்டி தெ4ரஸு,simho apul coraak khuNTi dherasu,சிங்கம் அதன் இரையை கவ்விப் பிடிக்கிறது,The lion grasps its prey
