alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
பா4வனொ,bhaavano,"உணர்ச்சி, உணர்வு, மனப்பான்மை","Emotion, Feeling, Attitude, Sentiment",,,,
பா4வனொதெ4ரெ,bhaavanodhere,உணர்ச்சி வயப்பட்ட,Emotional,,,,
சித்து,cittu,மனது,Mind,,,,
சிஜ்ஜிது,cijjitu,மனதை வெல்வது,Conquering the mind,,,,
மொன்னு,monnu,மனது,Mind,,,,
மொன்னுதெ4ரெ,monnudhere,மனஞ்சார்ந்த,"Mental, Psycho",,,,
பி4த்தரு மொன்னு,bhittaru monnu,மனசாட்சி,Conscience,,,,
நிம்மள்,nimmaL,நிம்மதி,Peace of mind,,,,
லேதன்,lEtan,நினைப்பு,Thinking,,,,
க3வன்,gavan,எண்ணம்,Thought,,,,
ஹட்வன்,haTvan,"நினைவு, ஞாபகம், நினைப்பு, எண்ணம்","Memory, Remembrance, Thought",,,,
ஹவ்ட3ன்,havDan,"நினைவு, ஞாபகம், நினைப்பு, எண்ணம்","Memory, Remembrance, Thought",,,,
ஹவ்ட3ரஸ்,havDaras,"எண்ணுகிறேன், நினைக்கிறேன்","Suppose, Think",,,,
"ஸாந்த், ஶாந்தி","saant, ssaanti",அமைதி,"Peace, Calm, Serenity, Quiet",,,,
ஓர்ப்,Orp,பொறுமை,Patience,,,,
அல்லட்னி,allaTni,"தவித்தல், தவிப்பு","Impatient, Jumpy, Restless",,,,
துஸ்னி,tusni,மகிழ்ச்சி,"Joy, Pleasure, Happy, Delight, Happiness",,,,
குஷி,kushi,மகிழ்ச்சி,"Joy, Pleasure, Happy, Delight, Happiness",,,,
ஸந்தோஸ்,santOs,மகிழ்ச்சி,"Joy, Pleasure, Happy, Delight, Happiness",,,,
உத்ஸாஹ்,utsaah,"மகிழ்ச்சி, உற்சாகம்","Jolly, Excitement, Exuberant",,,,
ஸொம்பு,sompu,மகிழ்ச்சி,"Joy, Pleasure, Happy, Delight, Happiness",,,,
ஸொந்தோ3ஷ்,sondOsh,மகிழ்ச்சி,"Joy, Pleasure, Happy, Delight, Happiness",,,,
ஸொந்து,sontu,"சந்தோஷம், களிப்பு","Happy, Pleasure, Exultation, Merriment",,,,
ஸொந்தோஷ்கன்,sontOshkan,சந்தோஷமாக,Happily,,,,
துஷத்தெ,tushatte,மகிழ்ச்சியாக இருப்பது,Being happy,,,,
பு2லன்,phulan,பூரித்தல்,State of delight,,,,
பு2லஸ்,phulas,"புளகாங்கிதம், பெருமகிழ்ச்சி","Ecstasy, Highly delighted, Heavenly",,,,
"வேன் ஸொந்தோஷ் ஹொயெ, ஸ்வர்கு3 தெ4ரெ","vEn sontOsh hoye, svargu dhere","பெரு மகிழ்ச்சியூட்டுகிற, சுவர்க்கம் தொடர்பான",Heavenly,,,,
ஸுக2ம்,sukham,சுகம்,Comfort,,,,
து3ஹ்கு2 பொட3த்தெ,duhkhu poDatte,வருத்தப்படுதல்,"Feeling sorry, Regret",,,,
விசார் பொட3த்தெ,vicaar poDatte,வருத்தப்படுதல்,"Feeling sorry, Regret",,,,
விசார்,vicaar,"கவலை, வருத்தம்","Anxiety, Worry, Sad",,,,
சிந்தொ,cinto,"கவலை, வருத்தம், அக்கறை","Worry, Sad, Concern",,,,
வெகுல்,vekul,"கவலை, மனக்கவலை","Worry, Anxiety",,,,
வியாகூல்,viyaakool,"கவலை, மனக்கவலை","Worry, Anxiety",,,,
பரிதாப்,paritaap,வருத்தம்,Pity,,,,
பஶ்சாதாப்,passcaataap,கழிவிரக்கம்,"Repentance, Sympathy",,,,
பா4ர்,bhaar,"வலி, துன்பம்","Pain, Suffering",,,,
மொன்னு பா4ர்,monnu bhaar,மன அழுத்தம்,Stress,,,,
ஸூத்,soot,ஏக்கம்,"Longing, Nostalgic",,,,
து3வ்னொ,duvno,"வலி, துன்பம்","Pain, Ache",,,,
பா3தொ3,baado,"துன்பம், துயரம், வருத்தம்","Pain, Suffering, Grief, Sorrow, Worry",,,,
வேத3னொ,vEdano,"துன்பம், துயரம், வருத்தம்","Pain, Suffering, Grief, Sorrow, Worry",,,,
து3க்,duk,துக்கம்,"Grief, Mourning",,,,
து3கு,duku,துக்கம்,"Grief, Mourning",,,,
