alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
இவத்தெ,ivatte,"படித்தல், படிப்பது, வாசிப்பது",Reading,இவத்தெ ஒண்டெ சொக்கட் ரூணி,ivatte oNTe cokkaT rooNi,வாசிப்பது ஒரு நல்ல பழக்கம்,Reading is a good habit
உச்லத்தெ,uclatte,"இழுத்தல், இழுப்பது",Pulling,கெ4த3டு3க் ஹுட3ட3த்தெ தொ3ங்க3ருக் உச்லத்தெ ஸொகன்,ghedaDuk huDaDatte donggaruk uclatte sokan,கழுதையை எழுப்புவது மலையை இழுப்பது போன்றது,Getting the donkey up is like pulling a mountain
உணத்தெ,uNatte,"ஆழ்த்துதல், ஆழ்த்துவது","Immersing, Plunging","ஸில்லொ-பனி உணத்தெ, ஆங்கு3 து3ன்னொ உன்னொ கெரயி","sillo-pani uNatte, aanggu dunno unno kerayi","குளிர்-நீர் ஆழ்த்துதல், உடல் வலியை குறைக்கும்",Cold-water immersion will reduce body pain
ஒஞ்சத்தெ,onjcatte,"ஏமாற்றுதல், ஏமாற்றுவது","Cheating, Deceiving",ஒஞ்சத்தெ ஒண்டெ பாபு கரெ,onjcatte oNTe paapu kare,ஏமாற்றுதல் ஒரு பாவச்செயல்,Cheating is a sin
ஒவத்தெ,ovatte,"சுமத்தல், சுமப்பது",Carrying the load,ஒவன் கெ4த3ட்3 கெரன் ஒண்டே காம் பா4ர் ஒவத்தெ,ovan ghedaD keran oNTE kaam bhaar ovatte,கோவேறு கழுதை செய்யும் ஒரே வேலை பொதி சுமத்தல்,The only job the mule do is carrying the load
க2னத்தெ,khanatte,"தோண்டுதல், தோண்டுவது",Digging,ஹீர் க2னத்தெ க2ண்டி3 கொவ்ரத்தெ ஸொகன் ஸுலப்3யம் ந்ஹா,heer khanatte khaNDi kovratte sokan sulabyam nhaa,கிணறு தோண்டுவது என்பது குழி தோண்டுவது போன்று எளிதானது அல்ல,Digging a well is not as easy as digging a pit
கம்ப்லத்தெ,kamplatte,"நடுங்குதல், நடுங்குவது","Shivering, Trembling, Quivering",ஜரிம் ஆங்கு3 து4வெ ப2ராது ஆங்கு3 கம்ப்லஸு,jarim aanggu dhuve pharaatu aanggu kamplasu,அருவியில் குளித்த பின் உடல் நடுங்குகிறது,The body trembles after bathing in the waterfall
கி3லத்தெ,gilatte,"விழுங்குதல், முழுங்குவது","Swallowing, Gulping",சவி க2னாத்தக் கி3லத்தெ சொக்கட் ந்ஹா,cavi khanaattak gilatte cokkaT nhaa,மென்று தின்னாமல் முழுங்குவது நல்லதல்ல,It is not good to swallow without chewing
குங்க3த்தெ,kunggatte,"சுருங்குதல், சுருங்குவது","Shrinking, Contracting",பூ4கும் போட் குங்க3த்தெ ஸஹஜமு,bhookum pOT kunggatte sahajamu,பசியில் வயிறு சுருங்குதல் இயற்கையானது,Stomach contraction due to hunger is natural
குஷத்தெ,kushatte,"உழுதல், உழுவது",Ploughing,பீக் க4லத்தக் முது3ல்லாம் கே2துக் குஷத்தெ சொக்கடு,peek ghalattak mudullaam khEtuk kushatte cokkaTu,விதைப்பதற்கு முன் வயலை உழுவது நல்லது,It is better to plow the field before sowing
தங்கத்தெ,tangkatte,"சுருங்குதல், சுருங்குவது","Shrinking, Contracting",பெ3ய்லனுக் ஸிங்க்3யார் போட் தங்கத்தெ,beylanuk singgyaar pOT tangkatte,பெண்டிற்கழகு உண்டி சுருங்குதல்,Stomach shrinking is beauty for women
தரத்தெ,taratte,"தாண்டுதல், தாண்டுவது",Jumping,மொரெ பெ3டா3க் லம்பொ3 தரத்தெமாம் த3ஸ்து அப்3பெ3ஸி,more beDaak lambo tarattemaam dastu abbesi,என் மகன் நீளம் தாண்டுதலில் பரிசு பெற்றான்,My son won a prize in long jump
